candidate_id,solver_kind,mean_policy,whitening_policy,stress,row_count,field_gain_to_huber_mean,h1_gain_to_huber_mean,field_harm_rate_vs_huber,worst_field_gain_to_huber,clean_reprojection_ratio_to_cgls_mean,clean_reprojection_ratio_to_cgls_maximum,minimum_family_mean_field_gain_to_huber,family_mean_field_gains_to_huber_json,exact_call_budget_all_rows
quadratic_data__mean_zero__isotropic_flowoff__l0p1,quadratic_measurement_pdhg_control,zero,isotropic_flowoff,nominal,12,0.13434143621776382,0.04238242174390262,0.08333333333333333,-0.4373530739740147,2.1853397708632323,3.775581057925461,-0.005157514004592529,"{""single_interface"":-0.005157514004592529,""smooth_no_interface"":0.27384038644012015}",True
quadratic_data__mean_zero__isotropic_flowoff__l0p1,quadratic_measurement_pdhg_control,zero,isotropic_flowoff,sparse_flowon_outlier,12,0.13298595534624172,0.040226092397164216,0.08333333333333333,-0.4322502553169361,1.8775725533030403,2.845272081574405,-0.0070413285736225795,"{""single_interface"":-0.0070413285736225795,""smooth_no_interface"":0.273013239266106}",True
quadratic_data__mean_zero__structured_flowoff__l0,quadratic_measurement_pdhg_control,zero,structured_flowoff,nominal,12,-0.13152780887275642,-0.24261117987712597,1.0,-0.4350584501155712,2.0806204888022144,4.019702475565226,-0.18194769111134776,"{""single_interface"":-0.18194769111134776,""smooth_no_interface"":-0.08110792663416509}",True
quadratic_data__mean_zero__structured_flowoff__l0,quadratic_measurement_pdhg_control,zero,structured_flowoff,sparse_flowon_outlier,12,-0.1321296979477505,-0.2435632556452414,1.0,-0.43127601475834815,1.787414161380685,3.082517061777238,-0.1819279018775012,"{""single_interface"":-0.1819279018775012,""smooth_no_interface"":-0.08233149401799979}",True
quadratic_data__mean_zero__structured_flowoff__l0p001,quadratic_measurement_pdhg_control,zero,structured_flowoff,nominal,12,-0.1287526768310183,-0.23853480175157016,1.0,-0.42913998280502313,2.1653673626434613,4.1120605590858625,-0.17953261448103075,"{""single_interface"":-0.17953261448103075,""smooth_no_interface"":-0.07797273918100582}",True
quadratic_data__mean_zero__structured_flowoff__l0p001,quadratic_measurement_pdhg_control,zero,structured_flowoff,sparse_flowon_outlier,12,-0.1294660854548443,-0.23957701068009254,1.0,-0.4254424059650452,1.8543066842361478,3.1386714597560545,-0.1796876725459358,"{""single_interface"":-0.1796876725459358,""smooth_no_interface"":-0.07924449836375282}",True
quadratic_data__mean_zero__structured_flowoff__l0p01,quadratic_measurement_pdhg_control,zero,structured_flowoff,nominal,12,-0.09610611419595065,-0.20145800615988219,1.0,-0.41203237277854815,2.10215158794484,3.9951535401433262,-0.15686593035997673,"{""single_interface"":-0.15686593035997673,""smooth_no_interface"":-0.03534629803192455}",True
quadratic_data__mean_zero__structured_flowoff__l0p01,quadratic_measurement_pdhg_control,zero,structured_flowoff,sparse_flowon_outlier,12,-0.09695512786707132,-0.20262990553670654,1.0,-0.4083657715470326,1.8059302747242885,3.075614798634498,-0.15712586634793818,"{""single_interface"":-0.15712586634793818,""smooth_no_interface"":-0.03678438938620446}",True
quadratic_data__mean_zero__structured_flowoff__l0p1,quadratic_measurement_pdhg_control,zero,structured_flowoff,nominal,12,0.14558526153779514,0.057156105208724384,0.16666666666666666,-0.27814219092223513,1.7146983253020096,3.142676807161731,0.01590007734869285,"{""single_interface"":0.01590007734869285,""smooth_no_interface"":0.27527044572689746}",True
quadratic_data__mean_zero__structured_flowoff__l0p1,quadratic_measurement_pdhg_control,zero,structured_flowoff,sparse_flowon_outlier,12,0.14374790451535108,0.0548376942453403,0.16666666666666666,-0.2749373854676414,1.509905322956414,2.5657340764093095,0.01497829074846549,"{""single_interface"":0.01497829074846549,""smooth_no_interface"":0.27251751828223664}",True
quadratic_data__mean_zero__unwhitened__l0,quadratic_measurement_pdhg_control,zero,unwhitened,nominal,12,-0.0712262642415556,-0.1589348741291365,1.0,-0.21502058978438107,1.1035011164442066,1.9443854779153662,-0.0754079813808737,"{""single_interface"":-0.0670445471022375,""smooth_no_interface"":-0.0754079813808737}",True
