mean_policy,whitening_policy,data_huber_delta_sigma_multiplier,standardized_edge_regularization_weight,stress,paired_case_count,field_gain_huber_data_to_quadratic_data_mean,field_gain_huber_data_to_quadratic_data_worst,h1_gain_huber_data_to_quadratic_data_mean,clean_reprojection_ratio_huber_data_to_quadratic_data_mean
estimated,isotropic_flowoff,2.0,0.001,nominal,12,0.005840654298689036,0.0008260716163376494,0.0051748646404962085,0.9522989890116321
estimated,isotropic_flowoff,2.0,0.001,sparse_flowon_outlier,12,0.005821119371420029,0.0008503045285619424,0.0051154782452993725,0.9564815784654571
estimated,isotropic_flowoff,2.0,0.01,nominal,12,0.0061523986722993125,0.0008661624455369759,0.005460772869569514,0.9514374926119835
estimated,isotropic_flowoff,2.0,0.01,sparse_flowon_outlier,12,0.006130596483786867,0.0008918499566318906,0.005395598633768618,0.9558951530352778
estimated,isotropic_flowoff,2.0,0.1,nominal,12,0.008473918851846248,0.0012399737680456545,0.007278118144975119,0.9422758530479186
estimated,isotropic_flowoff,2.0,0.1,sparse_flowon_outlier,12,0.00847817286658008,0.0012739769421154803,0.007232511198161615,0.9490800571206489
estimated,structured_flowoff,0.75,0.0,nominal,12,-0.0005005023758564395,-0.002449110789355008,-0.0011811030456637286,1.0278473540127877
estimated,structured_flowoff,0.75,0.0,sparse_flowon_outlier,12,-0.0005337094534265052,-0.0022923976417576902,-0.0012213530905155442,1.026424985111607
estimated,structured_flowoff,0.75,0.001,nominal,12,-0.000328575932777969,-0.002415191616707753,-0.0009560914398029073,1.0297607822822286
estimated,structured_flowoff,0.75,0.001,sparse_flowon_outlier,12,-0.0003697084698848512,-0.0022563043621643803,-0.0010091040864955037,1.0281528763877197
estimated,structured_flowoff,0.75,0.01,nominal,12,-0.0002341733777389749,-0.002336535859315325,-0.0008790529354399049,1.0297862113563985
estimated,structured_flowoff,0.75,0.01,sparse_flowon_outlier,12,-0.00027681854700596176,-0.002306600870473885,-0.000936981143178021,1.0280801662892531
estimated,structured_flowoff,0.75,0.1,nominal,12,0.0005218268000044193,-0.002348820211820108,-0.00030747600127559686,1.025352828996579
estimated,structured_flowoff,0.75,0.1,sparse_flowon_outlier,12,0.00046925021756481235,-0.0026012674898341793,-0.00037477039556145123,1.023875760248051
estimated,structured_flowoff,1.345,0.0,nominal,12,0.0005516872214009088,-0.0016124366661630783,0.000346596834489265,1.014731483096539
estimated,structured_flowoff,1.345,0.0,sparse_flowon_outlier,12,0.0005224559300294485,-0.0014471696723490674,0.0003122828645391714,1.0151568833599354
estimated,structured_flowoff,1.345,0.001,nominal,12,0.0007521505500568196,-0.001586278702284933,0.0006213813332568624,1.0171278561278927
estimated,structured_flowoff,1.345,0.001,sparse_flowon_outlier,12,0.0007170210143028861,-0.0013853127057711437,0.0005758804752819881,1.0171070063725636
estimated,structured_flowoff,1.345,0.01,nominal,12,0.0008957245192613023,-0.0014766359938765353,0.0007609572166072885,1.017093131531128
estimated,structured_flowoff,1.345,0.01,sparse_flowon_outlier,12,0.0008603596976630447,-0.001273019223782243,0.0007122164918064497,1.0170600505892138
estimated,structured_flowoff,1.345,0.1,nominal,12,0.0020393636856407267,-0.00020277549101357096,0.0017520670827497495,1.011197898175684
estimated,structured_flowoff,1.345,0.1,sparse_flowon_outlier,12,0.002005764813302484,-1.275169386552618e-05,0.0017061522163817483,1.012157590706243
estimated,structured_flowoff,2.0,0.0,nominal,12,0.0016674307671493522,-0.0007403032425241946,0.0019741501202938036,1.0009976131457807
estimated,structured_flowoff,2.0,0.0,sparse_flowon_outlier,12,0.001642415605119715,-0.0005658017438877565,0.0019461165258518138,1.0033820055800609
estimated,structured_flowoff,2.0,0.001,nominal,12,0.0018984825363271979,-0.0007215784311498443,0.0023018483111685853,1.003896113792632
estimated,structured_flowoff,2.0,0.001,sparse_flowon_outlier,12,0.001869760185872256,-0.0005107733351260392,0.002264403861852122,1.00555892782752
estimated,structured_flowoff,2.0,0.01,nominal,12,0.0020945305240132827,-0.0005792066629529798,0.0025084327860644506,1.003814483843786
estimated,structured_flowoff,2.0,0.01,sparse_flowon_outlier,12,0.0020669709969966697,-0.0003652870949657077,0.0024695090083783596,1.0055529864678807
estimated,structured_flowoff,2.0,0.1,nominal,12,0.003650435978870573,0.00031437600923256637,0.003947001678625317,0.99648090490973
estimated,structured_flowoff,2.0,0.1,sparse_flowon_outlier,12,0.003637545137448093,0.00032994125602319276,0.003924199018091919,1.0000035041841246
estimated,unwhitened,0.75,0.0,nominal,12,-0.09781851176641887,-0.4025574963598463,-0.11953777725501646,2.9943757596842544
estimated,unwhitened,0.75,0.0,sparse_flowon_outlier,12,-0.09776636327511001,-0.39830529931907,-0.11944729488473844,2.3291718206942744
estimated,unwhitened,0.75,0.001,nominal,12,-0.20088895552661876,-0.25443819572755216,-0.3689863881260375,2.7313302871397966
estimated,unwhitened,0.75,0.001,sparse_flowon_outlier,12,-0.20103312995887188,-0.2637563896724691,-0.36989141191741765,2.6930383818696875
estimated,unwhitened,0.75,0.01,nominal,12,-0.2023468308272012,-0.25684801413942987,-0.3726812636894858,2.711471973324004
estimated,unwhitened,0.75,0.01,sparse_flowon_outlier,12,-0.20248709683841484,-0.2663386586313872,-0.37359888327478524,2.673973490131395
estimated,unwhitened,0.75,0.1,nominal,12,-0.21549482975441694,-0.2767592950429904,-0.4071029569804385,2.497238626228669
estimated,unwhitened,0.75,0.1,sparse_flowon_outlier,12,-0.21561455615398675,-0.28807203247187185,-0.4081745470634199,2.4672454954317335
estimated,unwhitened,1.345,0.0,nominal,12,-0.09545972444076085,-0.3953523188010543,-0.11664359445372635,2.9356250714542202
estimated,unwhitened,1.345,0.0,sparse_flowon_outlier,12,-0.0954154349159732,-0.39116012388111665,-0.11656234505626507,2.2874511652198772
estimated,unwhitened,1.345,0.001,nominal,12,-0.1952010370704822,-0.24455289948751616,-0.36219069891697847,2.684637156875842
estimated,unwhitened,1.345,0.001,sparse_flowon_outlier,12,-0.1953172065278673,-0.25369086689737064,-0.3630546915685518,2.6469883580628792
estimated,unwhitened,1.345,0.01,nominal,12,-0.19660609971688914,-0.2468271468128135,-0.3658150188920232,2.6650748374823015
estimated,unwhitened,1.345,0.01,sparse_flowon_outlier,12,-0.19671945751747208,-0.256136819114962,-0.36669259512030467,2.6282040652770813
estimated,unwhitened,1.345,0.1,nominal,12,-0.2092366240238429,-0.26556609764343403,-0.3995490125062149,2.454112579911421
estimated,unwhitened,1.345,0.1,sparse_flowon_outlier,12,-0.20932807453219437,-0.27666762920788746,-0.40057420363816504,2.4245670558596704
estimated,unwhitened,2.0,0.0,nominal,12,-0.09295108524892681,-0.3876137593258808,-0.11356167258815153,2.8726071045221033
estimated,unwhitened,2.0,0.0,sparse_flowon_outlier,12,-0.09291538589904029,-0.38348881905249677,-0.11349044665730008,2.242787402198434
estimated,unwhitened,2.0,0.001,nominal,12,-0.18913243117371634,-0.23617414651638236,-0.3549139978264202,2.634465197749521
estimated,unwhitened,2.0,0.001,sparse_flowon_outlier,12,-0.189230318841919,-0.24304690938318652,-0.3557512614493848,2.5975408361527887
estimated,unwhitened,2.0,0.01,nominal,12,-0.1904790095081684,-0.23787740705957838,-0.35846015908587486,2.615182552102526
estimated,unwhitened,2.0,0.01,sparse_flowon_outlier,12,-0.1905734660616688,-0.24534665574275263,-0.3593095999938569,2.579013963787554
estimated,unwhitened,2.0,0.1,nominal,12,-0.202540862138585,-0.2535657723103693,-0.3914406902303878,2.4075175272640488
estimated,unwhitened,2.0,0.1,sparse_flowon_outlier,12,-0.20260000056221203,-0.2644322418781308,-0.39241531515782196,2.3784640154119443
zero,diagonal_flowoff,0.75,0.0,nominal,12,-0.0011592606758144477,-0.0033845901445877834,-0.0017928229730318106,1.000488285228288
zero,diagonal_flowoff,0.75,0.0,sparse_flowon_outlier,12,-0.0011444457281963327,-0.003048416024443231,-0.0017886972510990013,1.000555928464367
zero,diagonal_flowoff,0.75,0.001,nominal,12,-0.0002868392596118776,-0.0017818051161181232,-0.0010970184495939742,0.9984333551241925
