method,model_seed,split,dc_mode,dc_steps,case_count,field_relative_l2_mean,h1_seminorm_relative_error_mean,measured_reprojection_relative_l2_mean,field_gain_to_cgls_mean,reprojection_ratio_to_cgls_mean,field_gain_to_cgls_minimum,field_harm_rate,optimization_forward_calls,optimization_adjoint_calls
pooled_cnn,29,development,base_nullspace_filter,1,12,0.3505331051643917,0.5711462382477498,0.1334022716449538,0.4852795667732733,15.81276755561389,0.24118236413264463,0.0,14,14
pooled_cnn,29,development,base_nullspace_filter,3,12,0.34612788387994575,0.5834678197331519,0.07112554177091536,0.49078258175059347,7.920273579935813,0.26626784508248025,0.0,16,16
pooled_cnn,29,development,base_nullspace_filter,5,12,0.34643074045658934,0.5913591263139631,0.05187236495291988,0.4898643600612876,5.518941611705935,0.2737835162732474,0.0,18,18
pooled_cnn,29,development,base_nullspace_filter,11,12,0.34917092200425576,0.6028304053845875,0.03346175798732004,0.48568890079382226,3.26977484737279,0.27025222179291036,0.0,24,24
pooled_cnn,29,development,measurement_pullback,0,12,0.36700865028651924,0.578798410091223,0.23787934068374172,0.46085734152148444,29.537108019920367,0.21152035048466064,0.0,13,13
pooled_cnn,29,development,measurement_pullback,1,12,0.35066823890889537,0.5712400417615974,0.13353911641836003,0.4850913216275128,15.821059971021413,0.2407626455822345,0.0,14,14
pooled_cnn,29,development,measurement_pullback,3,12,0.3464160397622104,0.5836708945323529,0.07107431000540304,0.4903830993649157,7.913123035957159,0.2652900571398558,0.0,16,16
pooled_cnn,29,development,measurement_pullback,5,12,0.34684113304552744,0.5916833867857157,0.051488896413306874,0.48929635238522384,5.486542591905795,0.272412396261473,0.0,18,18
pooled_cnn,29,development,measurement_pullback,11,12,0.3499561597909044,0.6036605232342025,0.03209284539952536,0.484600822856131,3.1557785442425623,0.2679300896690139,0.0,24,24
pooled_cnn,29,ood,base_nullspace_filter,1,18,0.4264253035603953,0.6459517320690753,0.15637165374581796,0.3589179232468657,19.790537490422867,0.21272816812188958,0.0,14,14
pooled_cnn,29,ood,base_nullspace_filter,3,18,0.40800282838607305,0.6416529601231667,0.086696016412239,0.3858630905400313,10.758004393240775,0.2716245342796912,0.0,16,16
pooled_cnn,29,ood,base_nullspace_filter,5,18,0.40166860231377033,0.643565362737166,0.0626117088848897,0.3951471693451725,7.685469070990351,0.29204502609984884,0.0,18,18
pooled_cnn,29,ood,base_nullspace_filter,11,18,0.39810196177561347,0.6521878776690765,0.03714662021288762,0.4005100707907314,4.445327976273607,0.3036849736804541,0.0,24,24
pooled_cnn,29,ood,measurement_pullback,0,18,0.4559575078140624,0.6716590248612516,0.27213034441778067,0.3149237278251777,35.34224934295159,0.13084502749214855,0.0,13,13
pooled_cnn,29,ood,measurement_pullback,1,18,0.42643995772300364,0.6459861506986154,0.156346330674818,0.35890037263296015,19.78459476462218,0.21281308547107222,0.0,14,14
pooled_cnn,29,ood,measurement_pullback,3,18,0.4080392174602918,0.6417394217235531,0.08653189171225947,0.3858153601803258,10.736566566009763,0.2717356307605759,0.0,16,16
pooled_cnn,29,ood,measurement_pullback,5,18,0.4017277736064941,0.6436861773581541,0.06227276442759731,0.39506693285125283,7.647277858400699,0.2921312303947284,0.0,18,18
pooled_cnn,29,ood,measurement_pullback,11,18,0.3982633189281758,0.6524573098207186,0.036232143617083074,0.40028447585803856,4.3482421344299915,0.3029196646205289,0.0,24,24
pooled_cnn,43,development,base_nullspace_filter,1,12,0.34197907429497665,0.6053532702896817,0.12940453848502467,0.4967876926210482,14.660282597577407,0.2891746673450926,0.0,14,14
pooled_cnn,43,development,base_nullspace_filter,3,12,0.34061262775641094,0.6154988798287708,0.06987792236370934,0.4982786869557989,7.362008316108113,0.29630934307594536,0.0,16,16
pooled_cnn,43,development,base_nullspace_filter,5,12,0.34191461002587675,0.6222052450932452,0.050715037127929526,0.4961748368127039,5.058428084422048,0.2956392751124559,0.0,18,18
