case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,projection_iterations,interpolation_fraction,paired_call_budget,field_gain,h1_gain,reprojection_ratio_to_matched_cgls,field_harm,truth_used_by_candidate,exact_camera_block_setup_forward_equivalents,preconditioner_block_count
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.2651178214625169,0.02717283237028839,0.0308287253157446,0.0041764125759696435,0.496840583097214,0.18889714301565555,0.18809696011255883,,,23,22,1,1,0.0,9,0.0,23,0.5294146411960781,0.5025550695814621,361.36652374728186,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.25189440769598864,0.025817519462017383,0.029291065612236614,0.004000325333699741,0.49892643426408967,0.09447113175206674,0.09461299016847285,,,23,22,1,1,0.0,9,0.5,23,0.5528862617669125,0.5004666812253789,180.72642037199287,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.25338747514584287,0.02597054905206386,0.029464684141672002,0.00391228171256479,0.5137440815774439,0.04725874571098619,0.04928553217801468,,,23,22,1,1,0.0,9,0.75,23,0.5502360601405859,0.4856310100110656,90.40755398201267,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.2568913107892878,0.026329669152203302,0.02987212105408851,0.0038594555398838194,0.5266930993027515,0.018933292310000394,0.025630636996360683,,,23,22,1,1,0.0,9,0.9,23,0.5440167356743368,0.47266624134985963,36.22001855575414,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.2584795350988892,0.026492451694293997,0.030056804719299644,0.003841846815656829,0.5316402930054721,0.009494755515026338,0.020569830113024823,,,23,22,1,1,0.0,9,0.95,23,0.5411976301820244,0.46771302997595027,18.163783419482616,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.25935045758655006,0.026581715519087723,0.03015807829644089,0.003833042453543334,0.5342274423224208,0.004781570581787994,0.01931659364659782,,,23,22,1,1,0.0,9,0.975,23,0.5396517387399274,0.4651227337003739,9.147303720997991,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.25989729997056693,0.026637763265526974,0.030221666830606047,0.0038277598362752374,0.5358154435513078,0.0019724293236933832,0.019093258017222177,,,23,22,1,1,0.0,9,0.99,23,0.5386810909801043,0.46353280085736037,3.773322966463324,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.2600836036628767,0.026656858168212776,0.03024333080371748,0.0038259989638525383,0.5363506766646318,0.00106428569815087,0.019111830618533856,,,23,22,1,1,0.0,9,0.995,23,0.5383504010649245,0.4629969166967804,2.036013974985603,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.26027191164385144,0.02667615849729963,0.03026522784175216,0.0038242380914298396,0.5368888448007082,0.00039774438363765057,0.01917696889873598,,,23,22,1,1,0.0,9,1.0,23,0.5380161535280981,0.4624580939433427,0.7608982484358208,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.2651178214625169,0.02717283237028839,0.0308287253157446,0.0041764125759696435,0.496840583097214,0.18889714301565555,0.18809696011255883,,,24,23,1,1,0.0,10,0.0,24,0.5262648202050475,0.5023771554433231,458.81186416546257,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.25186834043381523,0.025814847739152876,0.029288034429870814,0.00400131422428832,0.4988889170628527,0.09443888549937213,0.09457945561416993,,,24,23,1,1,0.0,10,0.5,24,0.5499401251796292,0.5003255964337328,229.3824057576376,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.25334866277289414,0.025966571039200703,0.029460170918162963,0.0039137650484476596,0.5136901876956796,0.047209895232945345,0.04923487274029814,,,24,23,1,1,0.0,10,0.75,24,0.5472949587189612,0.48550102161851605,114.66801293595344,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.2568454125705424,0.026324964886766965,0.02986678386637937,0.0038612355429432635,0.5266305496866303,0.01887294464524857,0.02557731218024224,,,24,23,1,1,0.0,10,0.9,24,0.541046667355715,0.4725402853932509,45.84045463440611,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.2584313991600062,0.02648751807726652,0.030051207322529205,0.0038437257077751307,0.5315750686316887,0.009428035005602825,0.020527592984166825,,,24,23,1,1,0.0,10,0.95,24,0.5382126909826169,0.4675879814428247,22.899733936046676,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.2593012282275416,0.02657666983369149,0.030152353753375584,0.0038349707901910645,0.534160920599255,0.004706973036887749,0.019285684301937746,,,24,23,1,1,0.0,10,0.975,24,0.5366584060710007,0.46499805812440076,11.432756679925278,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.2598474229228013,0.02663265119629457,0.030215866972276476,0.003829717839640625,0.535748156248179,0.0018788181038553416,0.01907090487065264,,,24,23,1,1,0.0,10,0.99,24,0.5356824187128726,0.4634083234177962,4.563457249251491,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.26003351212954184,0.02665172411562073,0.030237506004338457,0.0038279668561238124,0.5362831363065569,0.0009435907512031644,0.019092531389372665,,,24,23,1,1,0.0,10,0.995,24,0.5353498986154803,0.46287250104843264,2.2918855449970055,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.2602216063346998,0.026671002534092887,0.030259378183855892,0.0038262158726069984,0.5368210524566773,0.00018773788579839825,0.019160788153378468,,,24,23,1,1,0.0,10,1.0,24,0.5350137958155728,0.4623337379645331,0.45599614680517936,0,False,1001,3
cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,43,0.42877938761990747,0.053334271405067704,0.04907479721617646,0.0019441216042732075,0.7168566819971137,0.2219422062203928,0.22137875958005543,,,23,22,1,1,0.0,9,0.0,23,0.35885281065095853,0.3258867743177677,181.26641173349873,0,False,1001,3
cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,43,0.40237129089068135,0.050049466587219614,0.046052329184199235,0.0020894939535141526,0.7036419935644712,0.1109493242148874,0.11195196247967303,,,23,22,1,1,0.0,9,0.5,23,0.39834042941916736,0.33831352079224664,90.61541843338367,0,False,1001,3
cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,43,0.3966556751713589,0.049338522430800315,0.04539816368443415,0.002162180128134626,0.7091854142288432,0.055453760397774,0.05924763599607543,,,23,22,1,1,0.0,9,0.75,23,0.4068869012404556,0.3331006333640893,45.29063820538919,0,False,1001,3
cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,43,0.39578530196003725,0.04923025994800234,0.045298547448016875,0.0022057918329069096,0.7163467932903226,0.022159233700735356,0.03232970349656091,,,23,22,1,1,0.0,9,0.9,23,0.40818835684731486,0.32636626028686866,18.098066375476293,0,False,1001,3
cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,43,0.3959265571508335,0.04924783015520171,0.045314714432821195,0.002220329067831004,0.7193566061723277,0.011065757377038894,0.02673891097061084,,,23,22,1,1,0.0,9,0.95,23,0.4079771401443322,0.32353591117868175,9.037713767959422,0,False,1001,3
cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,43,0.39607806249383326,0.049266675340665776,0.04533205457136225,0.002227597685293051,0.7209762148230329,0.005527864159478263,0.025337642883368417,,,23,22,1,1,0.0,9,0.975,23,0.4077505965472278,0.32201287367440956,4.514761377760735,0,False,1001,3
