case_id,split,family,base_seed,method,model_seed,projection_iterations,paired_call_budget,truth_used_by_candidate,candidate_deployable,per_case_reprojection_ratio_limit,exact_camera_block_setup_forward_equivalents,reprojection_feasible,feasible_alpha_lower,feasible_alpha_upper,truth_oracle_alpha,field_relative_l2,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,field_gain,h1_gain,reprojection_ratio_to_matched_cgls,field_harm
9a6e1a09d5cfb3f6b9d9,ood,smooth_no_interface,3163,jacru_m2,29,9,23,True,False,1.1,1001,1,0.9960773466436856,1.0,0.9960773466436856,0.3460273528197098,0.6615408550626207,0.0010477276276263246,0.018587731134176725,0.3973726994338918,0.3696658342710118,1.099999999993371,0
9a6e1a09d5cfb3f6b9d9,ood,smooth_no_interface,3163,jacru_m2,29,10,24,True,False,1.1,1001,1,0.9965253222870928,1.0,0.9965253222870928,0.3460560570155944,0.6615884759745827,0.0008094199605146847,0.018584983020637987,0.39426718215420986,0.3705448403764455,1.100000000003002,0
35d22c1380baf6593b39,ood,single_interface,3163,jacru_m2,29,9,23,True,False,1.1,1001,1,0.9897124247853276,1.0,0.9897124247853276,0.641609624060789,1.008012449320793,0.002049954039942771,0.01796584003501674,0.07804280488725421,0.12058489520540426,1.0999999999992796,0
35d22c1380baf6593b39,ood,single_interface,3163,jacru_m2,29,10,24,True,False,1.1,1001,1,0.9914806212472635,1.0,0.9914806212472635,0.641885265274002,1.0085959040593178,0.0016876473554762051,0.01794621099821069,0.07527114385298295,0.12178361465190803,1.1000000000023615,0
f0363cd7bec7fc07695b,ood,two_interface,3163,jacru_m2,29,9,23,True,False,1.1,1001,0,,,,,,,,,,,
f0363cd7bec7fc07695b,ood,two_interface,3163,jacru_m2,29,10,24,True,False,1.1,1001,1,0.9987769833690782,1.0,0.9987769833690782,0.4307556108219422,0.7427950173448064,0.0005070377863338809,0.02184986029887902,0.3154179388529227,0.23059816806490543,1.0999999999948165,0
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,jacru_m2,29,9,23,True,False,1.1,1001,1,0.9976454005000724,1.0,0.9976454005000724,0.36654580922015445,0.6363713479382126,0.0007385579863003745,0.016416782926550105,0.3765537395862822,0.3533001796414805,1.1000000000044174,0
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,jacru_m2,29,10,24,True,False,1.1,1001,1,0.9977799551468352,1.0,0.9977799551468352,0.366574755525559,0.636396920576907,0.0006092473882118212,0.01641416124162866,0.3733551078836026,0.3534274365994234,1.100000000009148,0
3362d0532ed7c2a38730,ood,single_interface,3181,jacru_m2,29,9,23,True,False,1.1,1001,1,0.994040253043243,1.0,0.994040253043243,0.4337046396637828,0.7606481583829894,0.0013480042828084853,0.030387432217296857,0.3532625142473075,0.29796686724289156,1.1000000000039776,0
3362d0532ed7c2a38730,ood,single_interface,3181,jacru_m2,29,10,24,True,False,1.1,1001,1,0.9952602598817764,1.0,0.9952602598817764,0.43375254411026276,0.760859597541286,0.0010306940426595078,0.030430456161545383,0.35320251107409095,0.298925707755361,1.1000000000053365,0
