partition,base_seed,family,case_id,geometry_digest,candidate_id,field_relative_l2,h1_seminorm_relative_l2,field_mean_bias,data_residual_relative_l2,fallback,fallback_reason,takeover,evaluator_only,basis_rank,warm_forward_calls,warm_adjoint_calls,warm_projection_forward_calls,setup_forward_calls,setup_adjoint_calls,refine_forward_calls,refine_adjoint_calls,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,shared_warm_seconds,deployment_setup_seconds,candidate_refine_seconds,end_to_end_seconds,coefficient_norm,coefficient_radius,coefficient_clipped,projection_target_residual_ratio,radius_applies_to_entire_correction,high_order_teacher_setup_seconds
development,2113,single_interface,a19120623d9d018341fe,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,component_damping,0.7971809597882445,1.2173338995301013,0.0009264390092721037,0.0030491233865205737,False,,True,False,,12,12,1,0,0,12,12,25,24,0,0,0.004210082988720387,0.0,0.0037742499844171107,0.007984332973137498,,,,,,
development,2113,single_interface,a19120623d9d018341fe,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,krylov4_total_measurement_oracle,0.7291306385530839,1.1248029553362626,0.0009698482910331335,0.00949069042067062,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.004210082988720387,0.0007269170018844306,0.002931583032477647,0.007868583023082465,4.015622189436781,4.015622189436781,True,0.3719343451244334,True,
development,2113,single_interface,a19120623d9d018341fe,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,krylov4_total_adjoint_oracle,0.7829550967138422,1.2225620076118975,0.0008088464601165893,0.0028034662728940994,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.004210082988720387,0.0007269170018844306,0.003423166985157877,0.008360166975762695,4.015622189436781,4.015622189436781,True,0.31122325340283397,True,
development,2113,single_interface,a19120623d9d018341fe,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,fit_pca2_krylov6_total_measurement_oracle,0.7076471155872189,1.0910853895265777,0.0009306063120145098,0.011134281243110462,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.004210082988720387,0.0007459999760612845,0.0028839579899795353,0.007840040954761207,4.015622189436781,4.015622189436781,True,0.3488578061473781,True,
development,2113,single_interface,a19120623d9d018341fe,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,fit_pca2_krylov6_total_adjoint_oracle,0.7713662910405107,1.204052898507295,0.0006390785419236586,0.0037711440102855434,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.004210082988720387,0.0007459999760612845,0.003096667001955211,0.008052749966736883,4.015622189436781,4.015622189436781,True,0.301519521081136,True,
development,2113,single_interface,a19120623d9d018341fe,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,camera_block6_total_measurement_oracle,0.6697323859164922,1.0201672657402372,0.0011113389279178109,0.00891648628403872,False,,True,True,6,12,12,1,0,0,12,12,25,24,0,0,0.004210082988720387,0.00017375004244968295,0.004659749974962324,0.009043583006132394,4.015622189436781,4.015622189436781,True,0.36546498262172367,True,
development,2113,single_interface,a19120623d9d018341fe,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,camera_block6_total_adjoint_oracle,0.6980763571145173,1.0712263607156682,0.0010245819048559938,0.0068606618028029965,False,,True,True,6,12,12,1,0,0,12,12,25,24,0,0,0.004210082988720387,0.00017375004244968295,0.003397291002329439,0.007781124033499509,4.015622189436781,4.015622189436781,True,0.37415928548572913,True,
development,2113,single_interface,a19120623d9d018341fe,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,pose_fourier_krylov6_total_measurement_oracle,0.6901028338614625,1.0334748011564128,0.0011480466822436214,0.014406041736690614,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.004210082988720387,0.0007532499730587006,0.002901917032431811,0.007865249994210899,4.015622189436781,4.015622189436781,True,0.39048097069411897,True,
development,2113,single_interface,a19120623d9d018341fe,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,pose_fourier_krylov6_total_adjoint_oracle,0.7205721903303889,1.0942347033809927,0.0010690075956221606,0.01037478049449907,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.004210082988720387,0.0007532499730587006,0.003173624980263412,0.0081369579420425,4.015622189436781,4.015622189436781,True,0.39537803313447734,True,
development,2113,single_interface,a19120623d9d018341fe,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,detector_moment_krylov6_total_measurement_oracle,0.7000183279010402,1.0563997019997715,0.0010730805561991483,0.012444580181869516,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.004210082988720387,0.0010140420054085553,0.002826833981089294,0.008050958975218236,4.015622189436781,4.015622189436781,True,0.39332138999817623,True,
development,2113,single_interface,a19120623d9d018341fe,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,detector_moment_krylov6_total_adjoint_oracle,0.7153371679445835,1.0771586235571462,0.0010563529366132867,0.009041300010497464,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.004210082988720387,0.0010140420054085553,0.0034287499729543924,0.008652874967083335,4.015622189436781,4.015622189436781,True,0.39651505093258316,True,
development,2113,single_interface,a19120623d9d018341fe,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,exact_mismatch_oracle,0.6132349179324299,0.9583571928325867,0.0009756388453161063,0.023823931508292054,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.004210082988720387,0.0007269170018844306,0.0028230840107426047,0.007760084001347423,,,,,,
development,2113,single_interface,a19120623d9d018341fe,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,high_order_teacher_b0p75,0.7560644534843987,1.1694044215334103,0.0009381347332403867,0.007235393575789645,False,,True,True,4,12,12,1,2,2,10,10,25,24,1,0,0.004210082988720387,0.0007269170018844306,0.0036159169976599514,0.00855291698826477,,,,,,0.0001687080366536975
development,2129,smooth_no_interface,2fbb12616f11afd7c91c,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,low_cgls24_matched,0.6016062425660064,1.2002595254380695,0.018178734209104954,0.00028538920801457837,False,,True,False,,0,0,0,0,0,25,24,25,24,0,0,0.0,0.0,0.008089667011518031,0.008089667011518031,,,,,,
development,2129,smooth_no_interface,2fbb12616f11afd7c91c,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,component_damping,0.593070289862967,1.063947924817149,0.019762770477079354,0.0009280687839359316,False,,True,False,,12,12,1,0,0,12,12,25,24,0,0,0.004233208019286394,0.0,0.0036193749983794987,0.007852583017665893,,,,,,
