rig_id,split_role,method,partition_name,oracle_only,final_normalized_residual_l2,final_field_relative_l2,harm_vs_train_selected_fixed_field_l2,pointwise_violation_count,row_violation_count,column_violation_count,spectral_violation_count,total_violation_count,signed_forward_solver_calls,signed_transpose_solver_calls,signed_forward_evaluation_calls,field_error_evaluation_calls,iteration_budget,construction_wall_time_seconds,audit_wall_time_seconds,solver_wall_time_seconds,cost_proxy_units,primitive_component_accumulation_entries,signed_group_addition_entries,group_absolute_value_entries,materialized_signed_group_count,materialized_group_component_entries,largest_fused_group_component_entries,full_signed_operator_materialized,cost_proxy_definition
fresh-06,fresh_geometry_ood,fixed_triad_bridge,triad_bridge,False,0.08256005748066951,0.2664260737833674,-0.39568513296376356,0,0,0,0,0,32,32,7,7,32,7.062498480081558e-05,9.541597682982683e-05,0.0003079160233028233,4032,1152,768,384,2,1152,576,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-06,fresh_geometry_ood,train_selected_fixed,paired_cross,False,0.13450738993607786,0.662111206747131,0.0,0,0,0,0,0,32,32,7,7,32,6.487499922513962e-05,0.00011012499453499913,0.00031216698698699474,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-06,fresh_geometry_ood,geometry_conditioned_selector,triad_bridge,False,0.08256005748066951,0.2664260737833674,-0.39568513296376356,0,0,0,0,0,32,32,7,7,32,7.683300646021962e-05,9.28329536691308e-05,0.0003062079777009785,4032,1152,768,384,2,1152,576,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-06,fresh_geometry_ood,all_in_one_exact_oracle,all_in_one_exact,True,0.019423004286652768,0.32114945643174325,-0.3409617503153877,0,0,0,0,0,32,32,7,7,32,5.6124990805983543e-05,7.966702105477452e-05,0.0003498750156722963,4608,1152,960,192,1,1152,1152,1,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-07,fresh_geometry_ood,singleton_factor,singleton_factor,False,0.780011528041839,0.8155536415116795,0.14922042539912428,0,0,0,0,0,32,32,7,7,32,9.529199451208115e-05,0.00011183397145941854,0.00030033400980755687,2496,1152,0,1152,0,0,192,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-07,fresh_geometry_ood,fixed_paired_local,paired_local,False,0.02384767371943255,0.34884193258455426,-0.317491283528001,0,0,0,0,0,32,32,7,7,32,6.287498399615288e-05,8.783303201198578e-05,0.00044358300510793924,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-07,fresh_geometry_ood,fixed_paired_cross,paired_cross,False,0.13410686342221503,0.6663332161125552,0.0,0,0,0,0,0,32,32,7,7,32,0.0002697909949347377,0.0001075830077752471,0.00037983397487550974,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-07,fresh_geometry_ood,fixed_triad_bridge,triad_bridge,False,0.040842523595612724,0.26842868631285793,-0.3979045297996973,0,0,0,0,0,32,32,7,7,32,7.712503429502249e-05,0.00015725003322586417,0.000377209042198956,4032,1152,768,384,2,1152,576,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-07,fresh_geometry_ood,train_selected_fixed,paired_cross,False,0.13410686342221503,0.6663332161125552,0.0,0,0,0,0,0,32,32,7,7,32,8.095800876617432e-05,9.32089751586318e-05,0.0003248749999329448,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-07,fresh_geometry_ood,geometry_conditioned_selector,triad_bridge,False,0.040842523595612724,0.26842868631285793,-0.3979045297996973,0,0,0,0,0,32,32,7,7,32,8.162495214492083e-05,0.00013158301590010524,0.00031808397034183145,4032,1152,768,384,2,1152,576,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-07,fresh_geometry_ood,all_in_one_exact_oracle,all_in_one_exact,True,0.020626445643197433,0.30334097408723765,-0.3629922420253176,0,0,0,0,0,32,32,7,7,32,5.7792000006884336e-05,7.833301788195968e-05,0.0003148330142721534,4608,1152,960,192,1,1152,1152,1,ANALYTIC_PROXY_NOT_WALL_TIME
