policy,base_seed,family,mismatch_severity,selected_correction,fallback_used,reported_geometry_field_relative_l2,selected_field_relative_l2,field_gain_percent,selected_weighted_lcb,effective_camera_count
target_local_slope_heuristic_lcb,101,wrinkled_density_interface,0.0,0.0,True,0.629167857951391,0.629167857951391,0.0,0.0,5.18985447186997
target_local_slope_heuristic_lcb,101,shock_expansion_pair,0.0,0.0,True,0.5915088432532365,0.5915088432532365,0.0,0.0,5.18985447186997
target_local_slope_heuristic_lcb,101,smooth_plume,0.5,0.0,True,0.5373905185022773,0.5373905185022773,0.0,0.0,5.428823099593603
target_local_slope_heuristic_lcb,101,wrinkled_density_interface,0.5,0.0,True,0.6361169993138507,0.6361169993138507,0.0,0.0,5.428823099593603
target_local_slope_heuristic_lcb,101,shock_expansion_pair,0.5,0.0,True,0.5946837178386972,0.5946837178386972,0.0,0.0,5.428823099593603
target_local_slope_heuristic_lcb,101,smooth_plume,1.0,1.0,False,0.5536420647042976,0.5304076217637897,4.196654196230089,0.00022779444449845185,5.335805278320096
target_local_slope_heuristic_lcb,101,wrinkled_density_interface,1.0,1.0,False,0.6547981910135915,0.6291802286671925,3.91234470375427,0.00022779444449845185,5.335805278320096
target_local_slope_heuristic_lcb,101,shock_expansion_pair,1.0,1.0,False,0.603775335912293,0.5915136311734883,2.0308389577188546,0.00022779444449845185,5.335805278320096
target_local_slope_heuristic_lcb,101,smooth_plume,2.0,2.5,False,0.5901941489489183,0.5494793968657472,6.898535364283151,0.01669993581605954,5.177256151443138
target_local_slope_heuristic_lcb,101,wrinkled_density_interface,2.0,2.5,False,0.7027492413121786,0.6363892973046806,9.442905108455218,0.01669993581605954,5.177256151443138
target_local_slope_heuristic_lcb,101,shock_expansion_pair,2.0,2.5,False,0.6259422338454882,0.5993820294791667,4.243235706136702,0.01669993581605954,5.177256151443138
target_local_slope_heuristic_lcb,211,smooth_plume,0.0,0.0,True,0.6733044324928485,0.6733044324928485,0.0,0.0,4.864134303360563
target_local_slope_heuristic_lcb,211,wrinkled_density_interface,0.0,0.0,True,0.6641610760615045,0.6641610760615045,0.0,0.0,4.864134303360563
target_local_slope_heuristic_lcb,211,shock_expansion_pair,0.0,0.0,True,0.6367027605831819,0.6367027605831819,0.0,0.0,4.864134303360563
target_local_slope_heuristic_lcb,211,smooth_plume,0.5,0.0,True,0.7039630342370274,0.7039630342370274,0.0,0.0,4.5587431112731585
target_local_slope_heuristic_lcb,211,wrinkled_density_interface,0.5,0.0,True,0.6842177157614542,0.6842177157614542,0.0,0.0,4.5587431112731585
target_local_slope_heuristic_lcb,211,shock_expansion_pair,0.5,0.0,True,0.6447018093676098,0.6447018093676098,0.0,0.0,4.5587431112731585
target_local_slope_heuristic_lcb,211,smooth_plume,1.0,0.5,False,0.7712600280537701,0.7040219258533532,8.71795500281382,0.0015285762110770554,5.119180384850355
target_local_slope_heuristic_lcb,211,wrinkled_density_interface,1.0,0.5,False,0.6999114295792108,0.6842560899893443,2.2367600996712653,0.0015285762110770554,5.119180384850355
target_local_slope_heuristic_lcb,211,shock_expansion_pair,1.0,0.5,False,0.6619263349422688,0.6447107365657089,2.6008329730620914,0.0015285762110770554,5.119180384850355
target_local_slope_heuristic_lcb,211,smooth_plume,2.0,2.0,False,0.8935033413537071,0.6734039061621355,24.63330857365444,0.012222864822722238,4.776187593532264
target_local_slope_heuristic_lcb,211,wrinkled_density_interface,2.0,2.0,False,0.7221578910867941,0.6642851429304135,8.01386357065023,0.012222864822722238,4.776187593532264
target_local_slope_heuristic_lcb,211,shock_expansion_pair,2.0,2.0,False,0.6972087605335413,0.6367357170683654,8.673592026999016,0.012222864822722238,4.776187593532264
target_local_slope_heuristic_lcb,307,smooth_plume,0.0,0.0,True,0.6857219524369543,0.6857219524369543,0.0,0.0,4.666515537586011
target_local_slope_heuristic_lcb,307,wrinkled_density_interface,0.0,0.0,True,0.6359586984952307,0.6359586984952307,0.0,0.0,4.666515537586011
target_local_slope_heuristic_lcb,307,shock_expansion_pair,0.0,0.0,True,0.6654776142738124,0.6654776142738124,0.0,0.0,4.666515537586011
target_local_slope_heuristic_lcb,307,smooth_plume,0.5,0.0,True,0.7119388755127151,0.7119388755127151,0.0,0.0,5.288168626168393
target_local_slope_heuristic_lcb,307,wrinkled_density_interface,0.5,0.0,True,0.6444583675636819,0.6444583675636819,0.0,0.0,5.288168626168393
target_local_slope_heuristic_lcb,307,shock_expansion_pair,0.5,0.0,True,0.6708123545414086,0.6708123545414086,0.0,0.0,5.288168626168393
target_local_slope_heuristic_lcb,307,smooth_plume,1.0,0.0,True,0.7545286929195707,0.7545286929195707,0.0,0.0,5.5103718287961225
target_local_slope_heuristic_lcb,307,wrinkled_density_interface,1.0,0.0,True,0.6585879659103594,0.6585879659103594,0.0,0.0,5.5103718287961225
target_local_slope_heuristic_lcb,307,shock_expansion_pair,1.0,0.0,True,0.6778664146881345,0.6778664146881345,0.0,0.0,5.5103718287961225
target_local_slope_heuristic_lcb,307,smooth_plume,2.0,2.0,False,0.8488336675010058,0.6859228724345768,19.192310732212547,0.015070170659489089,5.138511566250071
target_local_slope_heuristic_lcb,307,wrinkled_density_interface,2.0,2.0,False,0.7034148028500332,0.6360068787040986,9.582955017838303,0.015070170659489089,5.138511566250071
target_local_slope_heuristic_lcb,307,shock_expansion_pair,2.0,2.0,False,0.7081653177943622,0.6655056627533129,6.023968410923628,0.015070170659489089,5.138511566250071
target_local_slope_heuristic_lcb,401,smooth_plume,0.0,0.0,True,0.5363030060846542,0.5363030060846542,0.0,0.0,4.64520633758367
target_local_slope_heuristic_lcb,401,wrinkled_density_interface,0.0,0.0,True,0.7314049954666972,0.7314049954666972,0.0,0.0,4.64520633758367
target_local_slope_heuristic_lcb,401,shock_expansion_pair,0.0,0.0,True,0.6400704980190834,0.6400704980190834,0.0,0.0,4.64520633758367
target_local_slope_heuristic_lcb,401,smooth_plume,0.5,0.0,True,0.5616114838581756,0.5616114838581756,0.0,0.0,5.6326204921392105
