diagnostic_repeat,replicate,sample_index,reaction_family,iterations,singleton_field_relative_l2,singleton_gradient_relative_l2,singleton_front_top10_f1,parent_batch_field_relative_l2,parent_batch_gradient_relative_l2,parent_batch_front_top10_f1,absolute_difference_field_relative_l2,absolute_difference_gradient_relative_l2,absolute_difference_front_top10_f1
0,8,0,plume,8,0.43075111508369446,0.5562975406646729,0.795121967792511,0.4306347668170929,0.5561493635177612,0.7941535115242004,0.0001163482666015625,0.0001481771469116211,0.0009684562683105469
0,8,0,plume,16,0.2997201383113861,0.4040758013725281,0.8414633870124817,0.29968446493148804,0.40404197573661804,0.8414633870124817,3.567337989807129e-05,3.382563591003418e-05,0.0
0,8,0,plume,32,0.214502215385437,0.30972185730934143,0.8707317113876343,0.21476711332798004,0.31005042791366577,0.8682926893234253,0.0002648979425430298,0.0003285706043243408,0.0024390220642089844
0,8,1,wavy_front,4,0.41500577330589294,0.6222610473632812,0.6000000238418579,0.41500574350357056,0.6222609877586365,0.6000000238418579,2.9802322387695312e-08,5.960464477539063e-08,0.0
0,8,1,wavy_front,8,0.3444503843784332,0.5299102663993835,0.7146341800689697,0.3444631099700928,0.5299702882766724,0.7146341800689697,1.2725591659545898e-05,6.002187728881836e-05,0.0
0,8,1,wavy_front,16,0.3037806749343872,0.4763554036617279,0.7341463565826416,0.303661972284317,0.4761697053909302,0.7341463565826416,0.00011870265007019043,0.0001856982707977295,0.0
0,8,1,wavy_front,32,0.2636122703552246,0.42237475514411926,0.7634146213531494,0.2636008858680725,0.42235150933265686,0.7634146213531494,1.138448715209961e-05,2.3245811462402344e-05,0.0
0,8,2,thin_front,4,0.44160813093185425,0.7555962204933167,0.5682926774024963,0.44160813093185425,0.7555962204933167,0.5682926774024963,0.0,0.0,0.0
0,8,2,thin_front,8,0.46761587262153625,0.8011199831962585,0.504878044128418,0.46761491894721985,0.8011174201965332,0.504878044128418,9.5367431640625e-07,2.562999725341797e-06,0.0
0,8,2,thin_front,16,0.37068015336990356,0.6488239765167236,0.704878032207489,0.370678186416626,0.6488259434700012,0.704878032207489,1.9669532775878906e-06,1.9669532775878906e-06,0.0
0,8,2,thin_front,32,0.31793278455734253,0.5750836133956909,0.7634146213531494,0.3180488348007202,0.5753697156906128,0.7634146213531494,0.00011605024337768555,0.000286102294921875,0.0
