base_seed,family,mismatch_severity,correction_candidate,residual_amplitude,loco_score,field_relative_l2
401,smooth_plume,0.5,0.5,0.0,0.05963593813800299,0.5363375685114984
401,smooth_plume,0.5,1.0,-0.5,0.061319814570297955,0.5431222947067447
401,smooth_plume,0.5,1.5,-1.0,0.0705898093980814,0.5921832936054408
401,smooth_plume,0.5,2.0,-1.5,0.08442865898453748,0.6592174701366789
401,smooth_plume,0.5,2.5,-2.0,0.10184911390939182,0.7158963944274493
401,wrinkled_density_interface,0.5,-0.5,1.0,0.14274035757026868,0.7962484123402537
401,wrinkled_density_interface,0.5,0.0,0.5,0.1292859249823435,0.7565318924974527
401,wrinkled_density_interface,0.5,0.5,0.0,0.12658394267105408,0.7314586733160904
401,wrinkled_density_interface,0.5,1.0,-0.5,0.1352287253560933,0.7257553373104703
401,wrinkled_density_interface,0.5,1.5,-1.0,0.1510940200112136,0.7421271830701056
401,wrinkled_density_interface,0.5,2.0,-1.5,0.1772359682346312,0.7849211922229462
401,wrinkled_density_interface,0.5,2.5,-2.0,0.2126828436671834,0.8183797431217177
401,shock_expansion_pair,0.5,-0.5,1.0,0.11684401958674272,0.6785997934337596
401,shock_expansion_pair,0.5,0.0,0.5,0.11258422947961678,0.6562688432536677
401,shock_expansion_pair,0.5,0.5,0.0,0.11108636157576063,0.6400798691264892
401,shock_expansion_pair,0.5,1.0,-0.5,0.11191601572811016,0.635824070672312
401,shock_expansion_pair,0.5,1.5,-1.0,0.11648646019604363,0.6490015183828984
401,shock_expansion_pair,0.5,2.0,-1.5,0.12635294718070864,0.6787681963715444
401,shock_expansion_pair,0.5,2.5,-2.0,0.13576909393109868,0.6921822895717954
401,smooth_plume,1.0,-0.5,1.5,0.09297334730023782,0.6516399112707766
401,smooth_plume,1.0,0.0,1.0,0.07604364025431357,0.604607366114732
401,smooth_plume,1.0,0.5,0.5,0.06468116311371207,0.561626367189286
401,smooth_plume,1.0,1.0,0.0,0.059635910844227306,0.536348116335814
401,smooth_plume,1.0,1.5,-0.5,0.061319872583523956,0.5431350795510619
