stratum,rig,K,method,hidden_action_relative_l2,gradient_cosine_median,gradient_relative_l2_median,query_count,activation,dot_defect_max
out_of_class,4,32,df_gated_srco,0.08857146940155418,0.9804518022397628,0.20075013848781598,32,0.9997312026249964,2.670702915021779e-15
out_of_class,5,4,nominal,0.15697487983257577,0.9429138427017436,0.35139120632082554,4,,
out_of_class,5,4,secant,0.15292844356732185,0.9449267467726256,0.341254159392804,4,,
out_of_class,5,4,channel_gate,0.11958335761958369,0.9687572908823177,0.25044729715950326,4,,
out_of_class,5,4,full_srco,0.11790643133193923,0.9711934678738434,0.2445079299548909,4,,
out_of_class,5,4,df_gated_srco,0.11790617636474995,0.9711929972586574,0.24450960523995113,4,0.9994457033855625,7.53088367021441e-15
out_of_class,5,8,nominal,0.15697487983257577,0.9402953164533552,0.35568559495487173,8,,
out_of_class,5,8,secant,0.14895429169526067,0.9470412249275253,0.33300192246044447,8,,
out_of_class,5,8,channel_gate,0.11921514950468934,0.9646594700158362,0.2737091813334914,8,,
out_of_class,5,8,full_srco,0.11430875706882072,0.9721610886146698,0.23511481106032628,8,,
out_of_class,5,8,df_gated_srco,0.11430866750995969,0.9721603721329072,0.23511776125060696,8,0.9996196715537424,3.651571822707624e-14
out_of_class,5,16,nominal,0.15697487983257577,0.9467748486924452,0.33756315829846273,16,,
out_of_class,5,16,secant,0.13720582937452097,0.9604097614931223,0.28749107161817433,16,,
out_of_class,5,16,channel_gate,0.11817378415638168,0.9732845179668261,0.23052725310623717,16,,
out_of_class,5,16,full_srco,0.10560324186206992,0.9779363873192198,0.20881860210172654,16,,
out_of_class,5,16,df_gated_srco,0.10560225436228673,0.977941521615896,0.20879404805563984,16,0.9997148240251758,2.883723399487112e-13
out_of_class,5,32,nominal,0.15697487983257577,0.9382390204110009,0.3599526487962287,32,,
out_of_class,5,32,secant,0.10478181472421974,0.9620701960007232,0.27700777048760705,32,,
out_of_class,5,32,channel_gate,0.1175727526375205,0.9644180025203419,0.26603355427610037,32,,
out_of_class,5,32,full_srco,0.078347872697438,0.9787093794409084,0.2070978490023106,32,,
out_of_class,5,32,df_gated_srco,0.07834926081465525,0.9787101251859887,0.20709367699679299,32,0.9997495329866645,2.097599854465758e-15
out_of_class,6,4,nominal,0.15528859274576864,0.95668928992539,0.3010003803390321,4,,
out_of_class,6,4,secant,0.15165452744427485,0.9595510791456859,0.2999458088906679,4,,
out_of_class,6,4,channel_gate,0.12267683182623375,0.9797583309200865,0.20958104681836504,4,,
out_of_class,6,4,full_srco,0.12050411049660947,0.9794944349919436,0.2095684812557054,4,,
out_of_class,6,4,df_gated_srco,0.12050448672760516,0.979496045498631,0.20956610291777766,4,0.9994631904304708,8.697939018399249e-14
out_of_class,6,8,nominal,0.15528859274576864,0.9401126842272891,0.34386831123076206,8,,
out_of_class,6,8,secant,0.14649844646126564,0.9445763670473284,0.3390043277333219,8,,
out_of_class,6,8,channel_gate,0.12138635247503846,0.9676648815860085,0.2519951430904836,8,,
out_of_class,6,8,full_srco,0.11633148616682801,0.9731960773180087,0.23567506577666136,8,,
out_of_class,6,8,df_gated_srco,0.11633184870514901,0.9731976079330327,0.23566711214095554,8,0.9995016410389385,4.289866995445201e-15
out_of_class,6,16,nominal,0.15528859274576864,0.9514389257791663,0.33146223539847763,16,,
out_of_class,6,16,secant,0.1349861919694838,0.9596945841259519,0.29366898662786095,16,,
out_of_class,6,16,channel_gate,0.12085069080415858,0.9820574451927191,0.1968957996616973,16,,
out_of_class,6,16,full_srco,0.10758033511076234,0.9805972865630426,0.19890066788098465,16,,
out_of_class,6,16,df_gated_srco,0.1075799271643886,0.9805952529602899,0.19889751340617512,16,0.9996876895595944,7.382286805967912e-15
out_of_class,6,32,nominal,0.15528859274576864,0.9449971528819086,0.3360983388104054,32,,
out_of_class,6,32,secant,0.11106898926252634,0.9759093956830651,0.23312217770732632,32,,
out_of_class,6,32,channel_gate,0.12054437596279914,0.9755981582784581,0.22843856699891515,32,,
out_of_class,6,32,full_srco,0.08846931112838795,0.9822521196458037,0.1968033629191494,32,,
out_of_class,6,32,df_gated_srco,0.08846784460454786,0.9822522089100366,0.19679535819436678,32,0.9996879552782602,3.7699323974479474e-14
out_of_class,7,4,nominal,0.1584027082866384,0.9475520915137516,0.3274497612555155,4,,
out_of_class,7,4,secant,0.1548147808207365,0.946149151947492,0.34017175670028343,4,,
out_of_class,7,4,channel_gate,0.12635267452386564,0.9610671705777492,0.29003322861942915,4,,
out_of_class,7,4,full_srco,0.12402881060450571,0.9642121044167861,0.2696455642123217,4,,
out_of_class,7,4,df_gated_srco,0.12402869294984657,0.9642106635181635,0.2696512145407039,4,0.9997029532792883,3.2806760454082673e-15
out_of_class,7,8,nominal,0.1584027082866384,0.9402392008206242,0.3569434781799172,8,,
out_of_class,7,8,secant,0.15122320602854794,0.9448730809385358,0.33933219932455105,8,,
out_of_class,7,8,channel_gate,0.12512535053426116,0.9666180536874578,0.2658378420063317,8,,
out_of_class,7,8,full_srco,0.12003228277386668,0.9661398159493848,0.26383364020203953,8,,
out_of_class,7,8,df_gated_srco,0.1200317338328027,0.9661434649663607,0.2638375356904813,8,0.9997444582732329,1.1996870070552636e-14
out_of_class,7,16,nominal,0.1584027082866384,0.9434374616366203,0.3374579267841449,16,,
out_of_class,7,16,secant,0.13990425971606948,0.9535775996623091,0.30118667746203276,16,,
out_of_class,7,16,channel_gate,0.12253470621137275,0.9633733778676041,0.28401001532873094,16,,
out_of_class,7,16,full_srco,0.10904000405111387,0.9731389023148763,0.2413250280965548,16,,
