method,split,sample_index,family_id,view_count,noise_level,rel_l2,gradient_rel_l2,observed_reprojection_rel_l2,heldout_reprojection_rel_l2,mass_relative_error,centroid_error,squared_rel_l2
unet,test_family_ood,157,2,5,0.05,0.6551275849342346,0.8983335494995117,0.5489190220832825,0.7527294754981995,0.2917291224002838,0.04104428256169367,0.4291921525417628
unet,test_family_ood,158,2,7,0.02,0.7414388060569763,0.9205601215362549,0.5402311086654663,0.8079634308815002,0.4136256277561188,0.03279441515888658,0.5497315031271945
unet,test_family_ood,159,2,7,0.05,0.7222602367401123,0.9080085754394531,0.5365382432937622,0.751228392124176,0.28702232241630554,0.04025809768819491,0.5216598495758831
unet,test_family_ood,160,2,5,0.02,0.8150541186332703,0.9792097806930542,0.7067861557006836,0.8435606360435486,0.5731412768363953,0.060907689751513415,0.664313216301057
unet,test_family_ood,161,2,5,0.05,0.7369061708450317,0.9534640312194824,0.6265263557434082,0.791490912437439,0.3743337392807007,0.05072371224823195,0.5430307046294871
unet,test_family_ood,162,2,7,0.02,0.7488390207290649,0.9241180419921875,0.5354154706001282,0.8136857748031616,0.2676892578601837,0.020364030661965266,0.560759878966465
unet,test_family_ood,163,2,7,0.05,0.67795330286026,0.8855192065238953,0.5023223161697388,0.7567142844200134,0.23826585710048676,0.05884055678836187,0.45962068085913543
unet,test_family_ood,164,2,5,0.02,0.7118206024169922,0.9264542460441589,0.6236171126365662,0.7712236046791077,0.36672505736351013,0.04107705862656528,0.5066885700252897
unet,test_family_ood,165,2,5,0.05,0.7270657420158386,0.9291867017745972,0.6300604939460754,0.7907443642616272,0.34253183007240295,0.01807799817223556,0.528624593213042
unet,test_family_ood,166,2,7,0.02,0.6374791860580444,0.8642247319221497,0.46978506445884705,0.7500259876251221,0.14274297654628754,0.04333925983833949,0.40637971265722683
unet,test_family_ood,167,2,7,0.05,0.761699914932251,0.9241064190864563,0.5756583213806152,0.836755096912384,0.23495350778102875,0.0480220091580009,0.5801867604077984
fno,test_iid,80,0,5,0.02,0.12153246998786926,0.23203669488430023,0.1396132856607437,0.1361464262008667,0.03096049651503563,0.02732741996171371,0.014770141261352343
fno,test_iid,81,0,5,0.05,0.18372492492198944,0.2758992910385132,0.1711585521697998,0.20089952647686005,0.24064835906028748,0.07646631958460813,0.03375484803759066
fno,test_iid,82,0,7,0.02,0.11984460055828094,0.2203124463558197,0.12140732258558273,0.15712645649909973,0.06721573323011398,0.040248191065757846,0.014362728282973913
fno,test_iid,83,0,7,0.05,0.1354198306798935,0.2627246379852295,0.15712426602840424,0.16662520170211792,0.07083513587713242,0.010781859587828176,0.018338530541371023
fno,test_iid,84,1,5,0.02,0.39452868700027466,0.6652616858482361,0.21667571365833282,0.4416562020778656,0.2546175718307495,0.030833239251118635,0.1556528848661607
fno,test_iid,85,1,5,0.05,0.3586106598377228,0.5919693112373352,0.2730468809604645,0.4861283302307129,0.026707563549280167,0.036304603241989815,0.12860160534924692
fno,test_iid,86,1,7,0.02,0.21881452202796936,0.39725321531295776,0.1511484533548355,0.3650992214679718,0.12945356965065002,0.011534815244391951,0.04787979505032869
fno,test_iid,87,1,7,0.05,0.2580970525741577,0.4619762897491455,0.21700987219810486,0.3386074900627136,0.10019572824239731,0.028008229405411287,0.06661408854746753
fno,test_iid,88,0,5,0.02,0.15070174634456635,0.2817103862762451,0.17160667479038239,0.19161191582679749,0.029337052255868912,0.007643377091613794,0.022711016351302016
fno,test_iid,89,0,5,0.05,0.1265794336795807,0.24561531841754913,0.13783854246139526,0.13767783343791962,0.014207229018211365,0.02559181345370975,0.016022353030643366
fno,test_iid,90,0,7,0.02,0.15232282876968384,0.2577787935733795,0.1448301374912262,0.20495164394378662,0.17098532617092133,0.0560746611638744,0.023202244164398422
fno,test_iid,91,0,7,0.05,0.12763988971710205,0.23501673340797424,0.15464141964912415,0.15462248027324677,0.02624191716313362,0.009153665455690838,0.016291941446993974
fno,test_iid,92,1,5,0.02,0.48896151781082153,0.7648234367370605,0.3294846713542938,0.5145635604858398,0.37049075961112976,0.01689903973743002,0.23908336589986234
fno,test_iid,93,1,5,0.05,0.5161978602409363,0.7728588581085205,0.3440360128879547,0.5605072379112244,0.3009941577911377,0.0510873999443892,0.2664602309173212
fno,test_iid,94,1,7,0.02,0.3379414677619934,0.5972427725791931,0.211956188082695,0.4452804923057556,0.20337463915348053,0.031394008413951305,0.11420443563313043
fno,test_iid,95,1,7,0.05,0.371426522731781,0.6171020865440369,0.28542715311050415,0.39524316787719727,0.13372310996055603,0.014161165781960932,0.13795766178862223
fno,test_iid,96,0,5,0.02,0.16094671189785004,0.2648029923439026,0.1734377145767212,0.14886848628520966,0.12348354607820511,0.08678732994742172,0.025903844070729543
fno,test_iid,97,0,5,0.05,0.14815284311771393,0.2596594989299774,0.1623499095439911,0.16059646010398865,0.0909605547785759,0.007825975676566779,0.021949264923861955
