geometry_id,partition,source_index,sample_seed,source_split,family_id,noise_level,field_rel_l2,observed_reprojection_rel_l2,audit_reprojection_rel_l2
g_011011101,geometry_ood,178,30360839,val,1,0.02,0.2755819857120514,0.23787271800821463,0.35058716904829873
g_011011101,geometry_ood,179,30360840,val,1,0.05,0.33476394414901733,0.25621673483678237,0.48942381026471826
g_011011101,geometry_ood,180,30360841,val,1,0.02,0.40050679445266724,0.2684600059576606,0.5862319189229079
g_011011101,geometry_ood,181,30360842,val,1,0.05,0.3826052248477936,0.2888061983364543,0.5995434815324439
g_011011101,geometry_ood,182,30360843,val,1,0.02,0.3243027627468109,0.24434162503650744,0.38255773840542096
g_011011101,geometry_ood,183,30360844,val,1,0.05,0.2913622260093689,0.24146470509469614,0.41691920066060456
g_011011101,geometry_ood,184,30360845,val,0,0.02,0.3170832097530365,0.27518085367876377,0.2914464189517566
g_011011101,geometry_ood,185,30360846,val,0,0.05,0.2968009412288666,0.269822976924438,0.29162884208153184
g_011011101,geometry_ood,186,30360847,val,0,0.02,0.29708972573280334,0.26806447705961395,0.27479349429343136
g_011011101,geometry_ood,187,30360848,val,0,0.05,0.343517005443573,0.31872800178141913,0.3056955215407485
g_011011101,geometry_ood,188,30360849,val,0,0.02,0.3484055995941162,0.3176516289356518,0.31537609608096356
g_011011101,geometry_ood,189,30360850,val,0,0.05,0.3485405743122101,0.31997390550044513,0.3227904865592323
g_011011101,geometry_ood,190,30360851,val,1,0.02,0.32474419474601746,0.2023341893743807,0.3368549288692204
g_011011101,geometry_ood,191,30360852,val,1,0.05,0.4075998365879059,0.29063029424602804,0.5379124703741172
g_011011101,geometry_ood,192,30360853,val,1,0.02,0.32140976190567017,0.25401667375888615,0.5050662266372259
g_011011101,geometry_ood,193,30360854,val,1,0.05,0.29686683416366577,0.2317749119291965,0.35800778349143586
g_011011101,geometry_ood,194,30360855,val,1,0.02,0.33584609627723694,0.23753720387313101,0.5041982480246249
g_011011101,geometry_ood,195,30360856,val,1,0.05,0.2880401015281677,0.2458681462007046,0.37418096557303865
g_011011101,geometry_ood,196,30360857,val,0,0.02,0.3919086456298828,0.3666713829999312,0.3768341296826114
g_011011101,geometry_ood,197,30360858,val,0,0.05,0.28719398379325867,0.25475237092875813,0.2651442310845894
g_011011101,geometry_ood,198,30360859,val,0,0.02,0.3539521396160126,0.33163406502087783,0.338870623175022
g_011011101,geometry_ood,199,30360860,val,0,0.05,0.34836530685424805,0.313438099131952,0.30951389810648067
g_011011110,train,160,30360821,val,0,0.02,0.4275391101837158,0.39478544871860577,0.4005064809214051
g_011011110,train,161,30360822,val,0,0.05,0.46406862139701843,0.43356096071044475,0.43736078636420395
g_011011110,train,162,30360823,val,0,0.02,0.3430693745613098,0.3045878547901458,0.30958096172186395
g_011011110,train,163,30360824,val,0,0.05,0.3990377187728882,0.35939916103263186,0.3893611429829666
g_011011110,train,164,30360825,val,0,0.02,0.37039095163345337,0.33716533503726254,0.31840524198017356
g_011011110,train,165,30360826,val,0,0.05,0.40552952885627747,0.3711851109886464,0.360031508501983
g_011011110,train,166,30360827,val,1,0.02,0.30863654613494873,0.21623090042411916,0.41656508093666517
g_011011110,train,167,30360828,val,1,0.05,0.3769312798976898,0.26284550600812084,0.5564659982921235
g_011011110,train,168,30360829,val,1,0.02,0.32579663395881653,0.23141430290009102,0.4669219915055915
g_011011110,train,169,30360830,val,1,0.05,0.33193475008010864,0.25931526517970643,0.39073829747606215
g_011011110,train,170,30360831,val,1,0.02,0.34496009349823,0.2772895917832137,0.4981015034984655
g_011011110,train,171,30360832,val,1,0.05,0.3134438693523407,0.2402883985610073,0.45081719484002425
g_011011110,train,172,30360833,val,0,0.02,0.4300844073295593,0.38233725990015277,0.45770869132143216
g_011011110,train,173,30360834,val,0,0.05,0.4659244418144226,0.42916844641988344,0.47761492612096895
g_011011110,train,174,30360835,val,0,0.02,0.36508339643478394,0.3304814264863121,0.3096020055174916
g_011011110,train,175,30360836,val,0,0.05,0.437371164560318,0.4026033371089027,0.41303889159078533
g_011011110,train,176,30360837,val,0,0.02,0.3760703504085541,0.3159286581883278,0.30739940287360606
g_011011110,train,177,30360838,val,0,0.05,0.4196285009384155,0.38933490630024115,0.37188438933921364
g_011011110,train,178,30360839,val,1,0.02,0.27842462062835693,0.23608949584545935,0.35474078535435855
g_011011110,train,179,30360840,val,1,0.05,0.33715492486953735,0.25840953533682354,0.48690047355645955
g_011011110,train,180,30360841,val,1,0.02,0.4106317162513733,0.2807772824670079,0.598813948235262
g_011011110,train,181,30360842,val,1,0.05,0.38294145464897156,0.2827443824525008,0.5915742252860502
g_011011110,train,182,30360843,val,1,0.02,0.3316715657711029,0.24709964604012896,0.3884789360877355
g_011011110,train,183,30360844,val,1,0.05,0.2989378571510315,0.2533493293380466,0.4259071181013963
g_011011110,train,184,30360845,val,0,0.02,0.3478073179721832,0.2950621839928398,0.314279125536434
g_011011110,train,185,30360846,val,0,0.05,0.36220288276672363,0.3151207669019566,0.30311324461861366
g_011011110,train,186,30360847,val,0,0.02,0.3517555892467499,0.3042566535149154,0.2920816568081798
g_011011110,train,187,30360848,val,0,0.05,0.3875177204608917,0.3546958824710843,0.3335893054810822
g_011011110,train,188,30360849,val,0,0.02,0.365609347820282,0.328181391942193,0.32706066301882
