experiment,label,seed,split,input_variant,parameters,epochs_ran,best_epoch,best_val_rel_l2,train_seconds,gate_alpha_mean,gate_alpha_std,rel_l2_mean,gradient_rel_l2_mean,observed_reprojection_rel_l2_mean,heldout_reprojection_rel_l2_mean,mass_relative_error_mean,centroid_error_mean
quality_channel_residual,Residual FNO + observed residual,20260711,test_noise_ood,observable_quality,43387,30,30,0.26331334188580513,5.921884916024283,1.0,0.0,0.2491789786145091,0.4298489233478904,0.21395654883235693,0.27841526875272393,0.09948941064067185,0.04365533021519398
quality_channel_residual,Residual FNO + observed residual,20260711,test_joint_ood,observable_quality,43387,30,30,0.26331334188580513,5.921884916024283,1.0,0.0,0.47424646839499474,0.6868142951279879,0.46004156209528446,0.5111891683191061,0.04804515124124009,0.05447883368335679
quality_channel_residual,Residual FNO + observed residual,20260711,test_family_ood,observable_quality,43387,30,30,0.26331334188580513,5.921884916024283,1.0,0.0,0.6714807569980621,0.8823342978954315,0.5144895538687706,0.6709327429533005,0.08849993161857128,0.03445754742210142
quality_channel_residual,Residual FNO + observed residual,20260712,test_iid,observable_quality,43387,30,30,0.25567904487252235,6.001560291042551,1.0,0.0,0.22195701710879803,0.3795573279261589,0.18342110738158227,0.2643943503499031,0.11208745051408187,0.028571289568376974
quality_channel_residual,Residual FNO + observed residual,20260712,test_view_ood,observable_quality,43387,30,30,0.25567904487252235,6.001560291042551,1.0,0.0,0.48891429603099823,0.7142416872084141,0.5232691206037998,0.5083055719733238,0.0765375420160126,0.043674156463586584
quality_channel_residual,Residual FNO + observed residual,20260712,test_noise_ood,observable_quality,43387,30,30,0.25567904487252235,6.001560291042551,1.0,0.0,0.25125087797641754,0.4391945404931903,0.21428562607616186,0.2986357328481972,0.08595273300306872,0.04155732219241731
quality_channel_residual,Residual FNO + observed residual,20260712,test_joint_ood,observable_quality,43387,30,30,0.25567904487252235,6.001560291042551,1.0,0.0,0.48699417896568775,0.7132415380328894,0.521173594519496,0.5041216649115086,0.11263890273403376,0.07942181659435973
quality_channel_residual,Residual FNO + observed residual,20260712,test_family_ood,observable_quality,43387,30,30,0.25567904487252235,6.001560291042551,1.0,0.0,0.6661008477210999,0.8745030283927917,0.5114786922931671,0.6557890474796295,0.04779244146775454,0.0272336602066864
learned_observable_gate,Learned observable gate,20260710,test_iid,observable_quality,43428,30,30,0.3277456946671009,6.026015666080639,0.7705132961273193,0.043433234095573425,0.29449817910790443,0.4666111171245575,0.2213400311768055,0.34666158333420755,0.18496669232845306,0.05508563191696787
learned_observable_gate,Learned observable gate,20260710,test_view_ood,observable_quality,43428,30,30,0.3277456946671009,6.026015666080639,0.6948467493057251,0.020517438650131226,0.5699977725744247,0.7073308266699314,0.4278487954288721,0.5647564213722944,0.09890543669462204,0.038787131546006465
learned_observable_gate,Learned observable gate,20260710,test_noise_ood,observable_quality,43428,30,30,0.3277456946671009,6.026015666080639,0.6627633571624756,0.04101002961397171,0.3248962741345167,0.5229973271489143,0.24483974650502205,0.41053413040935993,0.09861158073181286,0.051981606513274325
learned_observable_gate,Learned observable gate,20260710,test_joint_ood,observable_quality,43428,30,30,0.3277456946671009,6.026015666080639,0.589259147644043,0.02851637452840805,0.5666579306125641,0.7045091688632965,0.36826310120522976,0.5727152265608311,0.1212697762530297,0.07139895101147056
learned_observable_gate,Learned observable gate,20260710,test_family_ood,observable_quality,43428,30,30,0.3277456946671009,6.026015666080639,0.6718398332595825,0.025424912571907043,0.7335944443941116,0.9272642821073532,0.5584426134824753,0.81698257625103,0.06864204248413444,0.03115334096289834
