replicate,sample_index,reaction_family,method,iterations,forward_calls,adjoint_calls,field_relative_l2,gradient_relative_l2,front_top10_f1,whitened_data_objective,objective_unit,objective_scale_to_physical,physical_equivalent_whitened_objective,trajectory_elapsed_seconds,source
0,2,thin_front,view_block_a_only_pdhg,8,8,8,0.9995157718658447,0.999557614326477,0.3243902325630188,0.49823251366615295,normalized_b0_per_sample,1181041.7239192799,588433.3868529095,0.24325837497599423,gate_b_production_factor_pipeline
0,2,thin_front,view_block_a_only_pdhg,16,16,16,0.9983468651771545,0.9984956979751587,0.3268292546272278,0.49395981431007385,normalized_b0_per_sample,1181041.7239192799,583387.150639617,0.24325837497599423,gate_b_production_factor_pipeline
0,2,thin_front,view_block_a_only_pdhg,32,32,32,0.9946880340576172,0.9952118396759033,0.3219512104988098,0.48065316677093506,normalized_b0_per_sample,1181041.7239192799,567671.4446904063,0.24325837497599423,gate_b_production_factor_pipeline
0,2,thin_front,voxel_factor_a_only_pdhg,4,4,4,0.9993317723274231,0.9992316365242004,0.09756096452474594,0.49768513441085815,normalized_b0_per_sample,1181041.7239192799,587786.9091135984,0.15919166599633172,gate_b_production_factor_pipeline
0,2,thin_front,voxel_factor_a_only_pdhg,8,8,8,0.997744619846344,0.9974415302276611,0.09268293529748917,0.4921194612979889,normalized_b0_per_sample,1181041.7239192799,581213.6169456041,0.15919166599633172,gate_b_production_factor_pipeline
0,2,thin_front,voxel_factor_a_only_pdhg,16,16,16,0.9925900101661682,0.9919885993003845,0.09268293529748917,0.4734705984592438,normalized_b0_per_sample,1181041.7239192799,559188.5318293984,0.15919166599633172,gate_b_production_factor_pipeline
0,2,thin_front,voxel_factor_a_only_pdhg,32,32,32,0.9787722826004028,0.9808748364448547,0.09013399481773376,0.41884365677833557,normalized_b0_per_sample,1181041.7239192799,494671.8344541406,0.15919166599633172,gate_b_production_factor_pipeline
0,3,double_front,scalar_a_only_pdhg,4,4,4,0.9998623132705688,0.9998239874839783,0.4414634108543396,0.49959588050842285,normalized_b0_per_sample,405469.05968456017,202570.6718920301,0.22744737501488999,gate_b_production_factor_pipeline
0,3,double_front,scalar_a_only_pdhg,8,8,8,0.9995402693748474,0.9994128942489624,0.4414634108543396,0.49865126609802246,normalized_b0_per_sample,405469.05968456017,202187.65997528058,0.22744737501488999,gate_b_production_factor_pipeline
0,3,double_front,scalar_a_only_pdhg,16,16,16,0.9984948039054871,0.9980785846710205,0.4414634108543396,0.49558892846107483,normalized_b0_per_sample,405469.05968456017,200945.97681319076,0.22744737501488999,gate_b_production_factor_pipeline
0,3,double_front,scalar_a_only_pdhg,32,32,32,0.9954760074615479,0.994235098361969,0.4439024329185486,0.4867904484272003,normalized_b0_per_sample,405469.05968456017,197378.4653872023,0.22744737501488999,gate_b_production_factor_pipeline
0,3,double_front,view_block_a_only_pdhg,4,4,4,0.9998366236686707,0.999791145324707,0.44878047704696655,0.49952787160873413,normalized_b0_per_sample,405469.05968456017,202543.09638742314,0.17243441700702533,gate_b_production_factor_pipeline
0,3,double_front,view_block_a_only_pdhg,8,8,8,0.9994631409645081,0.9993141889572144,0.4463414251804352,0.49844712018966675,normalized_b0_per_sample,405469.05968456017,202104.88512578112,0.17243441700702533,gate_b_production_factor_pipeline
0,3,double_front,view_block_a_only_pdhg,16,16,16,0.9982894062995911,0.9978163838386536,0.4439024329185486,0.49504604935646057,normalized_b0_per_sample,405469.05968456017,200725.85613312043,0.17243441700702533,gate_b_production_factor_pipeline
0,3,double_front,view_block_a_only_pdhg,32,32,32,0.9950563907623291,0.9937012195587158,0.4439024329185486,0.48568639159202576,normalized_b0_per_sample,405469.05968456017,196930.80450040576,0.17243441700702533,gate_b_production_factor_pipeline
0,3,double_front,voxel_factor_a_only_pdhg,4,4,4,0.9986932873725891,0.9983582496643066,0.3975609838962555,0.49660974740982056,normalized_b0_per_sample,405469.05968456017,201359.88731244687,0.14332045800983906,gate_b_production_factor_pipeline
0,3,double_front,voxel_factor_a_only_pdhg,8,8,8,0.9957395792007446,0.9946696162223816,0.40000003576278687,0.48892080783843994,normalized_b0_per_sample,405469.05968456017,198242.26021446777,0.14332045800983906,gate_b_production_factor_pipeline
0,3,double_front,voxel_factor_a_only_pdhg,16,16,16,0.9867362976074219,0.9836294651031494,0.3975609838962555,0.4653586447238922,normalized_b0_per_sample,405469.05968456017,188688.5320922779,0.14332045800983906,gate_b_production_factor_pipeline
0,3,double_front,voxel_factor_a_only_pdhg,32,32,32,0.9641184210777283,0.9575005769729614,0.40487802028656006,0.40562647581100464,normalized_b0_per_sample,405469.05968456017,164468.98573025005,0.14332045800983906,gate_b_production_factor_pipeline
0,4,annular_kernel,scalar_a_only_pdhg,4,4,4,0.9999452829360962,0.9999474287033081,0.29024389386177063,0.4994015693664551,normalized_b0_per_sample,1370573.444836663,684466.5292834181,0.1340538330259733,gate_b_production_factor_pipeline
0,4,annular_kernel,scalar_a_only_pdhg,8,8,8,0.9998078942298889,0.9998155832290649,0.29024389386177063,0.4979012608528137,normalized_b0_per_sample,1370573.444836663,682410.2462755588,0.1340538330259733,gate_b_production_factor_pipeline
0,4,annular_kernel,scalar_a_only_pdhg,16,16,16,0.9993107318878174,0.9993382692337036,0.29024389386177063,0.4924919903278351,normalized_b0_per_sample,1370573.444836663,674996.4437380855,0.1340538330259733,gate_b_production_factor_pipeline
0,4,annular_kernel,scalar_a_only_pdhg,32,32,32,0.9975904822349548,0.9976901412010193,0.29024389386177063,0.4740363359451294,normalized_b0_per_sample,1370573.444836663,649701.6139340657,0.1340538330259733,gate_b_production_factor_pipeline
0,4,annular_kernel,view_block_a_only_pdhg,4,4,4,0.9999232888221741,0.9999266266822815,0.2951219379901886,0.4992106854915619,normalized_b0_per_sample,1370573.444836663,684204.9089134419,0.13023783301468939,gate_b_production_factor_pipeline
0,4,annular_kernel,view_block_a_only_pdhg,8,8,8,0.999734103679657,0.999745786190033,0.2951219379901886,0.497258722782135,normalized_b0_per_sample,1370573.444836663,681529.6006585901,0.13023783301468939,gate_b_production_factor_pipeline
0,4,annular_kernel,view_block_a_only_pdhg,16,16,16,0.9990677833557129,0.9991086721420288,0.2951219379901886,0.49037855863571167,normalized_b0_per_sample,1370573.444836663,672099.830383385,0.13023783301468939,gate_b_production_factor_pipeline
0,4,annular_kernel,view_block_a_only_pdhg,32,32,32,0.9968751072883606,0.9970155358314514,0.2951219379901886,0.4679103195667267,normalized_b0_per_sample,1370573.444836663,641305.4585631925,0.13023783301468939,gate_b_production_factor_pipeline
