base_seed,trial,amplitude_multiplier,noise_multiplier,replicate_count,numerical_success_count,numerical_failure_count,one_step_q_relative_l2_median,one_step_q_relative_l2_p90,one_step_q_relative_l2_max,iterative_q_relative_l2_median,iterative_q_relative_l2_p90,iterative_q_relative_l2_max,paired_q_improvement_fraction,median_q_reduction_fraction,one_step_field_relative_l2_median,iterative_field_relative_l2_median,one_step_sequence_relative_l2_median,iterative_sequence_relative_l2_median,objective_monotone_fraction_all,trust_hit_fraction_all,one_step_boundary_hit_fraction,iterative_local_boundary_hit_fraction,one_step_wall_seconds_median,iterative_wall_seconds_median
709,2,0.5,0.0078125,16,16,0,0.1187640418483206,0.20003722087722697,0.29714677593099603,0.11913687505506487,0.18556111948430115,0.2715160369909586,0.4375,-0.0031392768462733954,0.02013065421071146,0.020082274376356873,0.012743230273133165,0.012757971479255132,1.0,0.625,0.0,0.0,0.007026104489341378,0.0363220619619824
709,2,0.5,0.015625,16,16,0,0.2582103763231034,0.4134058320866417,0.4897242414890243,0.23961351928010333,0.39512267604376616,0.48614191265325984,0.75,0.07202211354871921,0.03975459481622911,0.038776025513756474,0.02571853925528195,0.02510123432297164,1.0,0.5,0.0,0.0,0.00704566651256755,0.036345312488265336
709,2,1.0,0.0078125,16,16,0,0.08008469631728693,0.1320711872576109,0.1862830627085168,0.06975080093668248,0.11735432586781779,0.20280597298170097,0.5625,0.12903708018898727,0.023996104982701126,0.02354261594658944,0.01522474119483788,0.01503462072827647,1.0,1.0,0.0,0.0,0.006952604511752725,0.04456574999494478
709,2,1.0,0.015625,16,16,0,0.13124978366168133,0.163340995687621,0.17724691000813614,0.11376650580563624,0.14733842178379092,0.148242842613836,0.5625,0.1332061460848668,0.03594657179995883,0.03523514736602574,0.023177897982056078,0.02270020187915614,1.0,1.0,0.0,0.0,0.0070738744689151645,0.04538679146207869
709,2,2.0,0.0078125,16,16,0,0.055014688715316805,0.08286667393550956,0.09356699840738952,0.03783932201240581,0.048223362776288727,0.05618450982516396,0.875,0.31219601717257656,0.022393133307756413,0.02119888246557717,0.014489956295426818,0.013982840980587814,1.0,1.0,0.0,0.0,0.007136875006835908,0.05476679146522656
709,2,2.0,0.015625,16,16,0,0.06623701289776164,0.14816074862581852,0.16502960220552995,0.07068461746434083,0.10716300081034377,0.11607997092753286,0.625,-0.06714681674193512,0.03937472928736835,0.04005853428356004,0.0256482365677525,0.0252961766020131,1.0,1.0,0.0,0.0,0.007036250026430935,0.05479410447878763
811,0,0.5,0.0078125,16,16,0,0.09272697761106197,0.2526580648331537,0.3107951020484186,0.09607293360275437,0.25286052893331434,0.2941809482061507,0.625,-0.03608395396781753,0.013225291135370819,0.013118694132936481,0.008426717752980754,0.00836377270887416,1.0,0.5625,0.0,0.0,0.007079854025505483,0.0356874794815667
811,0,0.5,0.015625,16,16,0,0.2719008456273029,0.49347004524581733,0.6445914918862936,0.27186142371078725,0.48873776586380424,0.6553662679696562,0.5625,0.0001449863696623478,0.029145212737830814,0.028909245218859347,0.018366182290222126,0.018227888227314262,1.0,0.5,0.0,0.0,0.006993332994170487,0.035428479546681046
811,0,1.0,0.0078125,16,16,0,0.06693166555961864,0.15603840463655438,0.1795328470878917,0.05330228502614623,0.13333300630347505,0.18617975250683239,0.75,0.20363127705722778,0.013986105176983564,0.013899708635025886,0.008792126166035218,0.008720001297699242,1.0,1.0,0.0,0.0,0.007121332979295403,0.04477689601480961
811,0,1.0,0.015625,16,16,0,0.16809583799815775,0.24435935668694456,0.265361156724748,0.1695872811518206,0.2160733963201063,0.2326456411284148,0.6875,-0.008872576331599519,0.02513971627358818,0.025045704215440927,0.015671175992338113,0.01563882517820285,1.0,1.0,0.0,0.0,0.007086229452397674,0.04561885405564681
