method,base_seed,trial,amplitude_multiplier,q_true_norm,noise_multiplier,replicate_count,valid_count,numerical_failure_count,coverage_count,coverage_fraction,coverage_cp95_lower,coverage_cp95_upper,coverage_cell_passed,qref_error_mean,qref_error_median,qref_error_p90,qref_error_p95,qref_error_max,relative_l2_median,relative_l2_p90,bias_norm_over_qref,nis_pass_fraction_diagnostic,authorization_fraction,false_accept_fraction_all,authorized_qref_error_p90,field_relative_l2_median,sequence_relative_l2_median,bias_yaw,bias_pitch,bias_roll,bias_shift_u,bias_shift_v
teacher_linear,709,0,0.5,0.02,0.0625,500,500,0,479,0.958,0.9365130594670811,0.9738164232238529,True,0.5267411200592215,0.4920690711337907,0.842916236805045,0.9185393571860697,1.6664964435315204,0.9841381422675815,1.68583247361009,0.009073225956742429,0.994,0.0,0.0,,,,-0.0002933409151799457,-0.00013378946323235746,-9.392494335790438e-05,-0.00013500085888508342,2.6867209461742085e-05
one_step_plugin,709,0,0.5,0.02,0.0625,500,500,0,478,0.956,0.9341389996764051,0.9722232327144282,True,0.5279244507657489,0.49850873122835954,0.8425091764539606,0.9211179207302869,1.674495993008595,0.9970174624567191,1.6850183529079212,0.010032399971534581,0.994,0.0,0.0,,0.15196185678768337,0.09768221456192747,-0.0003276756395937841,-0.00017369565829452802,-0.00013122444896399368,-7.187563388220356e-05,3.3331808482559054e-05
teacher_linear,709,0,0.5,0.02,1.0,500,500,0,475,0.95,0.927072378349521,0.9673848198506699,True,8.470403311070006,7.880057263389851,13.701891025794469,14.942355407272537,22.94629800558205,15.760114526779702,27.403782051588937,0.3936509935525404,0.994,0.0,0.0,,,,0.013324832686181641,0.007226030997933941,0.0024317964643024333,0.003342884084074376,-0.0010404659622760635
one_step_plugin,709,0,0.5,0.02,1.0,500,500,0,474,0.948,0.9247336289693778,0.9657543019172321,True,7.664499711602577,7.3498811876183705,12.092231922825949,13.953799430505057,19.43444486146279,14.699762375236741,24.184463845651898,0.39985097892661026,0.992,0.0,0.0,,2.3441398982125894,1.494881373004,0.008068940999863078,0.008720355006475729,0.008528746718154854,0.006295426875347632,-0.0015116111054717762
teacher_linear,709,0,1.0,0.04,0.0078125,500,500,0,478,0.956,0.9341389996764051,0.9722232327144282,True,0.06303525929672817,0.0590132950397369,0.10272550521564766,0.1211557986028037,0.1999347326511215,0.0590132950397369,0.10272550521564766,0.002398558686267887,0.984,0.984,0.0,0.10262077118972257,,,-5.788858405516607e-05,-4.623088434239225e-05,3.687302409223492e-05,4.849312808889207e-05,2.3125366613104166e-06
one_step_plugin,709,0,1.0,0.04,0.0078125,500,500,0,476,0.952,0.9294192037426702,0.9690068312064947,True,0.06402020963299211,0.06025064027794923,0.10248245068655312,0.12184516019964309,0.21028404458632607,0.06025064027794923,0.10248245068655312,0.011218247469605116,0.986,0.986,0.0,0.10239334381020927,0.10129434081701724,0.06668148359458365,-9.65865311820021e-05,-0.00027723789239525454,-0.000293173800971408,0.00016562137589991484,4.227762228820693e-05
teacher_linear,709,0,1.0,0.04,0.015625,500,500,0,471,0.942,0.9177617791061647,0.9608161312028122,True,0.13454965656462206,0.1218514361561385,0.22777799292300718,0.25875168821981054,0.437614495568347,0.1218514361561385,0.22777799292300718,0.011911287908344512,0.992,0.0,0.0,,,,-1.3339582939099134e-05,-0.0001742079169374383,-0.0002719133777707265,-0.0003498140240473374,1.3151737117626794e-05
one_step_plugin,709,0,1.0,0.04,0.015625,500,500,0,467,0.934,0.9085571013891337,0.9541366428894122,True,0.13546119692628764,0.12216083613639886,0.2274298283631953,0.25710030143836715,0.4493476330808871,0.12216083613639886,0.2274298283631953,0.019193639906208395,0.992,0.0,0.0,,0.10462274945485378,0.06877589907715354,-5.258168970127472e-05,-0.0004019258847422491,-0.0006066538411995948,-0.00023298918897718054,5.30207923230535e-05
teacher_linear,709,0,1.0,0.04,0.03125,500,500,0,468,0.936,0.9108493724491366,0.9558157890532868,True,0.26195777030169676,0.24249921149786546,0.4373448946705956,0.5036782228624954,0.8220138629358347,0.24249921149786546,0.4373448946705956,0.003682472005673041,0.988,0.0,0.0,,,,-8.328776227277054e-06,-3.668105454607967e-05,0.00014000798436964237,-2.527389186687476e-05,-6.409878524588769e-06
one_step_plugin,709,0,1.0,0.04,0.03125,500,500,0,471,0.942,0.9177617791061647,0.9608161312028122,True,0.262729897713167,0.24352357143680195,0.4401594392146018,0.5161198949011674,0.8236792636314266,0.24352357143680195,0.4401594392146018,0.008306355739598342,0.988,0.0,0.0,,0.12216550907855107,0.0798342987546299,-4.270058602494006e-05,-0.0002564647340504017,-0.0001799447868242668,9.675497628813465e-05,3.24610763260927e-05
teacher_linear,709,0,1.0,0.04,0.0625,500,500,0,475,0.95,0.927072378349521,0.9673848198506699,True,0.5121094956064097,0.47945988059354994,0.8202036274024952,0.9260772274079094,1.600278608162167,0.47945988059354994,0.8202036274024952,0.03941958451599953,0.982,0.0,0.0,,,,7.128231007050116e-05,0.0005860690410339972,0.0013422048399017936,0.0005779852046232745,-4.590219881164988e-05
one_step_plugin,709,0,1.0,0.04,0.0625,500,500,0,474,0.948,0.9247336289693778,0.9657543019172321,True,0.5128773111323124,0.48325577471324277,0.8220646601091016,0.9220728983628961,1.572553090075491,0.48325577471324277,0.8220646601091016,0.03356681221622116,0.982,0.0,0.0,,0.17260010616891056,0.11186626392139813,2.1367627224308516e-05,0.00037415506945891533,0.001065850865988139,0.000725378325070641,-1.0442091243109252e-05
teacher_linear,709,0,1.0,0.04,1.0,500,500,0,464,0.928,0.901712562663143,0.949065666874867,False,8.691256215339367,8.006695778531888,13.854607615419392,16.069450257012335,25.189193919220802,8.006695778531888,13.854607615419392,0.5006410545780482,0.99,0.0,0.0,,,,-0.0011621757271409704,0.0033357056472695865,-0.01717927350806528,-0.009656720161586342,0.0004111906082934348
