feature_index,kernel_index,depth_offset,y_offset,x_offset,coefficient
5,13,0,0,0,-0.017861028710033804
5,14,0,0,1,0.002652369893181191
5,15,0,1,-1,-0.0015339431530564257
5,16,0,1,0,0.003065773983011766
5,17,0,1,1,-0.00060544766322321
5,18,1,-1,-1,-0.00012777997142591872
5,19,1,-1,0,-0.0006681959466704537
5,20,1,-1,1,0.00019922513465744367
5,21,1,0,-1,-0.000296421692017699
5,22,1,0,0,0.0016288181466583972
5,23,1,0,1,4.36165250546472e-05
5,24,1,1,-1,-0.0001749735775508738
5,25,1,1,0,0.0006377802021032145
5,26,1,1,1,0.0002119027958015661
6,0,-1,-1,-1,-6.830865232431129e-05
6,1,-1,-1,0,-0.00025438469522615363
6,2,-1,-1,1,2.233317038500059e-05
6,3,-1,0,-1,-0.0006356016399733436
6,4,-1,0,0,0.0001573061861870945
6,5,-1,0,1,-1.0019753564597192e-07
6,6,-1,1,-1,-4.670662500986512e-05
6,7,-1,1,0,-8.179991168088432e-05
6,8,-1,1,1,0.00010613427107463452
6,9,0,-1,-1,-6.480657055085415e-05
6,10,0,-1,0,0.000735895062207052
6,11,0,-1,1,0.0006554889908976587
6,12,0,0,-1,-0.0004997741080573638
6,13,0,0,0,-0.000994349367410764
6,14,0,0,1,0.0007951633365492713
6,15,0,1,-1,0.00018494317484176644
6,16,0,1,0,-0.0009240371013457163
6,17,0,1,1,-8.929703489270103e-05
6,18,1,-1,-1,-1.886708493401733e-05
6,19,1,-1,0,-0.0002474035021446203
6,20,1,-1,1,1.6675638208373646e-05
6,21,1,0,-1,-0.0005837479150482058
6,22,1,0,0,0.00021468050569198769
6,23,1,0,1,2.827947557680878e-05
6,24,1,1,-1,1.2595446032879304e-05
6,25,1,1,0,-1.3393782912341703e-05
6,26,1,1,1,8.491332117632423e-05
7,0,-1,-1,-1,-2.6783903148096058e-05
7,1,-1,-1,0,-0.0005595281417426999
7,2,-1,-1,1,-0.00028614993681220206
7,3,-1,0,-1,-8.474075831769713e-05
7,4,-1,0,0,0.0006078944840766969
7,5,-1,0,1,-0.00039689943883088735
7,6,-1,1,-1,8.270256615227535e-05
7,7,-1,1,0,0.00016273311371688744
7,8,-1,1,1,0.00020400587368531135
7,9,0,-1,-1,0.0004442175736154126
7,10,0,-1,0,0.0014957003983764707
7,11,0,-1,1,0.0008075482109842036
7,12,0,0,-1,0.0008001063814628696
7,13,0,0,0,-0.002504871623713679
7,14,0,0,1,-0.000479255403970465
7,15,0,1,-1,-0.00025807878094559846
7,16,0,1,0,-0.0008553821940564737
7,17,0,1,1,6.0191259866277274e-05
7,18,1,-1,-1,-4.935360543260962e-05
7,19,1,-1,0,-0.00036982747227904376
7,20,1,-1,1,-0.00020853706548108083
7,21,1,0,-1,0.00023077610465936237
7,22,1,0,0,0.0012069883419842102
7,23,1,0,1,-0.0003644590761658334
7,24,1,1,-1,3.48077106120279e-05
7,25,1,1,0,0.0002545384350293927
7,26,1,1,1,0.00021701780883592558
8,0,-1,-1,-1,0.000177591001690307
8,1,-1,-1,0,2.566974198583071e-05
8,2,-1,-1,1,-7.230408688316423e-05
8,3,-1,0,-1,-1.4468775778323353e-05
8,4,-1,0,0,0.00044929453244547257
8,5,-1,0,1,-0.00013150634708830665
8,6,-1,1,-1,2.5469239997842373e-05
8,7,-1,1,0,-0.00018484195417208083
8,8,-1,1,1,0.000145700913023544
8,9,0,-1,-1,0.000752532732608604
8,10,0,-1,0,-0.00034962838241621186
8,11,0,-1,1,0.000462783943421494
8,12,0,0,-1,-0.002419261613513115
8,13,0,0,0,-0.0011523364784305943
8,14,0,0,1,0.000513326446576233
8,15,0,1,-1,-0.0003217065417788794
8,16,0,1,0,0.0008843626800464758
8,17,0,1,1,0.00010633110161269487
8,18,1,-1,-1,0.00010952567750371878
8,19,1,-1,0,0.0001279751270434298
8,20,1,-1,1,-9.005263871149653e-05
8,21,1,0,-1,7.951845340913864e-05
8,22,1,0,0,0.00020408451305469418
8,23,1,0,1,-5.096654254233314e-05
8,24,1,1,-1,-2.9491530249556783e-05
8,25,1,1,0,-0.00013199188096210004
8,26,1,1,1,4.481619136029262e-05
9,0,-1,-1,-1,0.0008117276308645059
9,1,-1,-1,0,-0.00022653242596095243
9,2,-1,-1,1,-0.0007581271258165497
9,3,-1,0,-1,-0.00025710919126721994
9,4,-1,0,0,-0.0002960673430375737
9,5,-1,0,1,0.0005360227370511181
9,6,-1,1,-1,-0.00012730426114036501
9,7,-1,1,0,0.0005621881564041734
9,8,-1,1,1,0.000432164162200913
9,9,0,-1,-1,-8.498939526179116e-05
9,10,0,-1,0,0.0010160745297978415
9,11,0,-1,1,-0.0006831789444857798
9,12,0,0,-1,0.0007542868497414547
9,13,0,0,0,-0.005545779451106448
9,14,0,0,1,0.0007637183405961578
9,15,0,1,-1,0.00015118182077297358
9,16,0,1,0,0.0011056786280353188
9,17,0,1,1,-6.087733071340047e-05
9,18,1,-1,-1,0.0007138798258303385
9,19,1,-1,0,-0.00017903553049330014
9,20,1,-1,1,-0.000523313343127537
9,21,1,0,-1,-0.00022704945457869232
9,22,1,0,0,-0.00045167247125250254
9,23,1,0,1,0.000495696351244754
