field_uid,rig_id,family,reserved_view,source_gain_vs_pbb9,reserved_gain_vs_pbb9,target_gain_vs_pbb9
fresh-budget-rig-b:tilted_flame_brush:5,fresh-budget-rig-b,tilted_flame_brush,2,0.00029757407926767065,0.008314804522397523,-0.014356204805389794
fresh-budget-rig-b:tilted_flame_brush:6,fresh-budget-rig-b,tilted_flame_brush,2,-0.009273362679215413,-0.18574028897191264,-0.03627755033558144
fresh-budget-rig-b:tilted_flame_brush:7,fresh-budget-rig-b,tilted_flame_brush,2,0.024010746335774158,0.07150698174201298,0.06945672962101879
fresh-budget-rig-b:tilted_flame_brush:8,fresh-budget-rig-b,tilted_flame_brush,2,0.00861948686154157,0.08639681889940787,0.05795065579741321
fresh-budget-rig-b:tilted_flame_brush:9,fresh-budget-rig-b,tilted_flame_brush,2,0.006397956541318139,-0.007001791307863492,0.01909612055366927
fresh-budget-rig-b:tilted_flame_brush:10,fresh-budget-rig-b,tilted_flame_brush,2,0.016035454317560593,0.04004757570750306,0.04157740999367465
fresh-budget-rig-b:tilted_flame_brush:11,fresh-budget-rig-b,tilted_flame_brush,2,0.02302721720310641,0.08063317766333533,0.07764055278616189
fresh-budget-rig-b:tilted_flame_brush:12,fresh-budget-rig-b,tilted_flame_brush,2,0.005229122326856017,0.04896744866441416,0.02918662170788766
fresh-budget-rig-b:tilted_flame_brush:13,fresh-budget-rig-b,tilted_flame_brush,2,0.01646675930947894,0.063661371358808,0.03455455770193738
fresh-budget-rig-b:tilted_flame_brush:14,fresh-budget-rig-b,tilted_flame_brush,2,-0.0013917058138446237,-0.03601712035881577,-0.045135118610479585
fresh-budget-rig-b:tilted_flame_brush:15,fresh-budget-rig-b,tilted_flame_brush,2,-0.004090667953289273,0.10564172105733338,0.010207421357607993
fresh-budget-rig-b:tilted_flame_brush:16,fresh-budget-rig-b,tilted_flame_brush,2,0.0076019693075290995,0.025023240198568053,0.0012123553676147703
fresh-budget-rig-b:tilted_flame_brush:17,fresh-budget-rig-b,tilted_flame_brush,2,0.008289719114979777,0.04438396990450644,0.02675733456718954
fresh-budget-rig-b:tilted_flame_brush:18,fresh-budget-rig-b,tilted_flame_brush,2,-0.0064722807283383865,0.19096267676375522,0.07678075693436903
fresh-budget-rig-b:tilted_flame_brush:19,fresh-budget-rig-b,tilted_flame_brush,2,-0.01767678283275087,-0.018802641956952693,-0.01537630649987265
fresh-budget-rig-b:pulsed_toroidal_plume:0,fresh-budget-rig-b,pulsed_toroidal_plume,2,-0.0013677113095540427,0.044583837295957385,-0.007132917023351171
fresh-budget-rig-b:pulsed_toroidal_plume:1,fresh-budget-rig-b,pulsed_toroidal_plume,2,-0.01699323988001411,-0.02225995741245379,-0.0034892216518596086
fresh-budget-rig-b:pulsed_toroidal_plume:2,fresh-budget-rig-b,pulsed_toroidal_plume,2,0.014598946162738824,0.0594202258231733,0.03790858261628505
fresh-budget-rig-b:pulsed_toroidal_plume:3,fresh-budget-rig-b,pulsed_toroidal_plume,2,0.0005836375035697117,0.04257824020131595,-0.02666624467322931
fresh-budget-rig-b:pulsed_toroidal_plume:4,fresh-budget-rig-b,pulsed_toroidal_plume,2,-0.0064150186281122235,0.002641389444174358,-0.04959103553001243
fresh-budget-rig-b:pulsed_toroidal_plume:5,fresh-budget-rig-b,pulsed_toroidal_plume,2,-0.013658591089565686,0.059760086323071615,0.001483645687665569
fresh-budget-rig-b:pulsed_toroidal_plume:6,fresh-budget-rig-b,pulsed_toroidal_plume,2,-0.001843497006681849,-0.033850689507588294,0.013979716576910883
fresh-budget-rig-b:pulsed_toroidal_plume:7,fresh-budget-rig-b,pulsed_toroidal_plume,2,-0.0023108292210469727,-0.01380597878154255,0.011368738211862905
fresh-budget-rig-b:pulsed_toroidal_plume:8,fresh-budget-rig-b,pulsed_toroidal_plume,2,0.009796869464635205,0.05128060983771554,-0.01716471847289025
fresh-budget-rig-b:pulsed_toroidal_plume:9,fresh-budget-rig-b,pulsed_toroidal_plume,2,-0.006351910648545678,-0.032991006887627794,-0.012852057694233698
fresh-budget-rig-b:pulsed_toroidal_plume:10,fresh-budget-rig-b,pulsed_toroidal_plume,2,-0.007061745843496281,0.005283458160119436,-0.029195282949960655
fresh-budget-rig-b:pulsed_toroidal_plume:11,fresh-budget-rig-b,pulsed_toroidal_plume,2,-0.001643187976602345,-0.01771864702963155,-0.016838770815427173
fresh-budget-rig-b:pulsed_toroidal_plume:12,fresh-budget-rig-b,pulsed_toroidal_plume,2,-0.006354937924083481,0.020374112319879623,-0.018856080401136177
fresh-budget-rig-b:pulsed_toroidal_plume:13,fresh-budget-rig-b,pulsed_toroidal_plume,2,-0.00233497837434804,0.05126019052385378,-0.017936123123929004
fresh-budget-rig-b:pulsed_toroidal_plume:14,fresh-budget-rig-b,pulsed_toroidal_plume,2,-9.961599182428671e-05,0.03563649425656057,0.015759938209189417
fresh-budget-rig-b:pulsed_toroidal_plume:15,fresh-budget-rig-b,pulsed_toroidal_plume,2,-0.025756282936786556,-0.012110487787885482,-0.045209999018262614
fresh-budget-rig-b:pulsed_toroidal_plume:16,fresh-budget-rig-b,pulsed_toroidal_plume,2,0.007041531222759301,0.016714709297463437,0.007613251267115206
fresh-budget-rig-b:pulsed_toroidal_plume:17,fresh-budget-rig-b,pulsed_toroidal_plume,2,-0.011558929476784163,-0.041319436909299956,-0.02739866077262998
fresh-budget-rig-b:pulsed_toroidal_plume:18,fresh-budget-rig-b,pulsed_toroidal_plume,2,0.003029791348442612,0.03193488260466815,-0.03268649039984739
fresh-budget-rig-b:pulsed_toroidal_plume:19,fresh-budget-rig-b,pulsed_toroidal_plume,2,0.0100798884147546,0.03225672458250317,-0.0054629195417810195
fresh-budget-rig-c:triple_jet_merger:0,fresh-budget-rig-c,triple_jet_merger,3,-0.007448730557000127,0.0027512818446220333,-0.06951499386061966
fresh-budget-rig-c:triple_jet_merger:1,fresh-budget-rig-c,triple_jet_merger,3,-0.02649277241318493,-0.07946264654431667,-0.058361582066541295
fresh-budget-rig-c:triple_jet_merger:2,fresh-budget-rig-c,triple_jet_merger,3,-0.00929991581987899,-0.02338805450269832,-0.030871219610789646
fresh-budget-rig-c:triple_jet_merger:3,fresh-budget-rig-c,triple_jet_merger,3,-0.02137436347858479,0.02362973292553494,0.012563593166348253
fresh-budget-rig-c:triple_jet_merger:4,fresh-budget-rig-c,triple_jet_merger,3,-0.016327297924623174,0.03323342849413524,0.0760016954887901
fresh-budget-rig-c:triple_jet_merger:5,fresh-budget-rig-c,triple_jet_merger,3,-0.011526283917072444,-0.04911229482354185,-0.058751676235742734
fresh-budget-rig-c:triple_jet_merger:6,fresh-budget-rig-c,triple_jet_merger,3,-0.010756789928180632,-0.009240943078708375,-0.0038411256029720064
fresh-budget-rig-c:triple_jet_merger:7,fresh-budget-rig-c,triple_jet_merger,3,-0.04249958905701612,-0.12536543699800728,-0.10612945216050429
fresh-budget-rig-c:triple_jet_merger:8,fresh-budget-rig-c,triple_jet_merger,3,-0.01308980941708704,-0.0408489218228405,-0.020549340233448232
fresh-budget-rig-c:triple_jet_merger:9,fresh-budget-rig-c,triple_jet_merger,3,-0.021588723624614836,-0.021393452486521358,-0.03961196383474719
