cell_id,geometry,family,dynamics,noise_level,view_count,seed,mode,selected_rank,oracle_rank,selected_regret_pct,full_rank_regret_pct,rank3_regret_pct,prediction_std,vote_entropy,rank_vote_count,rank_votes,prediction_margin,inverse_margin,predicted_risk,prediction_std_percentile,vote_entropy_percentile,inverse_margin_percentile,predicted_risk_percentile,combined_uncertainty
g-jittered_f-jet_filaments_d-transient_v-5_n-0.00_s-20260733,jittered,jet_filaments,transient,0.0,5,20260733,no_holdout,18,18,0.0,0.0,1.2252439224563485,0.003015051947989843,-6.213901715968123e-13,1,"[18,18,18,18,18]",0.002238224438867715,-0.002238224438867715,-0.004405404621021768,0.4686411149825784,0.39547038327526135,0.5940766550522648,0.789198606271777,0.5618466898954704
g-jittered_f-jet_filaments_d-transient_v-5_n-0.00_s-20260733,jittered,jet_filaments,transient,0.0,5,20260733,with_holdout,18,18,0.0,0.0,1.2252439224563485,0.002628539058464681,-6.213901715968123e-13,1,"[18,18,18,18,18]",0.002174235433208007,-0.002174235433208007,-0.00017229198341317306,0.4094076655052265,0.3832752613240418,0.5836236933797909,0.8484320557491289,0.5561846689895471
g-jittered_f-jet_filaments_d-transient_v-5_n-0.14_s-20260730,jittered,jet_filaments,transient,0.14,5,20260730,no_holdout,5,5,0.0,0.7208798792626855,0.7744851015076222,0.0039696097148440605,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.004931781739275955,-0.004931781739275955,-0.012507976535610223,0.6968641114982579,0.39547038327526135,0.24390243902439024,0.5574912891986062,0.47343205574912894
g-jittered_f-jet_filaments_d-transient_v-5_n-0.14_s-20260730,jittered,jet_filaments,transient,0.14,5,20260730,with_holdout,5,5,0.0,0.7208798792626855,0.7744851015076222,0.003530757280856016,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.004833287438668793,-0.004833287438668793,-0.008422898617652417,0.5714285714285714,0.3832752613240418,0.24738675958188153,0.5714285714285714,0.4433797909407665
g-jittered_f-jet_filaments_d-transient_v-5_n-0.14_s-20260731,jittered,jet_filaments,transient,0.14,5,20260731,no_holdout,5,5,0.0,0.6994769951447151,0.770072604025154,0.004019055210112464,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.005264762043407799,-0.005264762043407799,-0.012128395222139087,0.7177700348432056,0.39547038327526135,0.20557491289198607,0.5609756097560976,0.4699477351916377
g-jittered_f-jet_filaments_d-transient_v-5_n-0.14_s-20260731,jittered,jet_filaments,transient,0.14,5,20260731,with_holdout,5,5,0.0,0.6994769951447151,0.770072604025154,0.003577212991021992,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.005182320153908875,-0.005182320153908875,-0.008117022279894779,0.5958188153310104,0.3832752613240418,0.20209059233449478,0.578397212543554,0.43989547038327526
g-jittered_f-jet_filaments_d-transient_v-5_n-0.14_s-20260732,jittered,jet_filaments,transient,0.14,5,20260732,no_holdout,5,5,0.0,0.6897927153335108,0.7965799726980674,0.004022233853004875,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.005084665442306317,-0.005084665442306317,-0.011839136255594376,0.7212543554006968,0.39547038327526135,0.2229965156794425,0.5644599303135889,0.4760452961672474
g-jittered_f-jet_filaments_d-transient_v-5_n-0.14_s-20260732,jittered,jet_filaments,transient,0.14,5,20260732,with_holdout,5,5,0.0,0.6897927153335108,0.7965799726980674,0.003612284698140326,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.005037123018554317,-0.005037123018554317,-0.007882465342296236,0.6062717770034843,0.3832752613240418,0.23344947735191637,0.5818815331010453,0.451219512195122
g-jittered_f-jet_filaments_d-transient_v-5_n-0.14_s-20260733,jittered,jet_filaments,transient,0.14,5,20260733,no_holdout,5,5,0.0,0.7085695896096909,0.8083150688481853,0.003901439292927782,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.004924299275577974,-0.004924299275577974,-0.011088824097004627,0.6794425087108014,0.39547038327526135,0.24738675958188153,0.5714285714285714,0.4734320557491289
g-jittered_f-jet_filaments_d-transient_v-5_n-0.14_s-20260733,jittered,jet_filaments,transient,0.14,5,20260733,with_holdout,5,5,0.0,0.7085695896096909,0.8083150688481853,0.0034745732087258924,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.004819219932598578,-0.004819219932598578,-0.007064657440808632,0.5470383275261324,0.3832752613240418,0.2508710801393728,0.5923344947735192,0.4433797909407665
