training_arm,method,model_seed,source_split,pair_index,source_index,sample_seed,geometry_id,geometry_partition,family_id,noise_level,field_rel_l2,audit_reprojection_rel_l2
m1_repeat,static,20261401,val,35,166,30360827,g_111010110,validation,1,0.02,0.2703613042831421,0.3018074929714203
m1_repeat,static,20261401,val,36,169,30360830,g_011010111,validation,1,0.05,0.38433095812797546,0.4735586643218994
m1_repeat,static,20261401,val,37,169,30360830,g_101011110,validation,1,0.05,0.2589572072029114,0.3715868294239044
m1_repeat,static,20261401,val,38,169,30360830,g_111001110,validation,1,0.05,0.5069063305854797,0.5915973782539368
m1_repeat,static,20261401,val,39,169,30360830,g_111010110,validation,1,0.05,0.3864023685455322,0.4690675735473633
m1_repeat,static,20261401,val,40,197,30360858,g_011010111,validation,0,0.05,0.1431993842124939,0.1611316204071045
m1_repeat,static,20261401,val,41,197,30360858,g_101011110,validation,0,0.05,0.09997175633907318,0.1147162914276123
m1_repeat,static,20261401,val,42,197,30360858,g_111001110,validation,0,0.05,0.22649307548999786,0.4025684893131256
m1_repeat,static,20261401,val,43,197,30360858,g_111010110,validation,0,0.05,0.14282697439193726,0.18344397842884064
m1_repeat,static,20261401,val,44,176,30360837,g_011010111,validation,0,0.02,0.19099509716033936,0.21109002828598022
m1_repeat,static,20261401,val,45,176,30360837,g_101011110,validation,0,0.02,0.14255739748477936,0.16633731126785278
m1_repeat,static,20261401,val,46,176,30360837,g_111001110,validation,0,0.02,0.20557717978954315,0.35319823026657104
m1_repeat,static,20261401,val,47,176,30360837,g_111010110,validation,0,0.02,0.1747567504644394,0.20703673362731934
m1_repeat,static,20261401,val,48,186,30360847,g_011010111,validation,0,0.02,0.15812760591506958,0.14268285036087036
m1_repeat,static,20261401,val,49,186,30360847,g_101011110,validation,0,0.02,0.13315753638744354,0.13632912933826447
m1_repeat,static,20261401,val,50,186,30360847,g_111001110,validation,0,0.02,0.19610193371772766,0.27518826723098755
m1_repeat,static,20261401,val,51,186,30360847,g_111010110,validation,0,0.02,0.15213938057422638,0.14513760805130005
m1_repeat,static,20261401,val,52,165,30360826,g_011010111,validation,0,0.05,0.18261215090751648,0.1707097291946411
m1_repeat,static,20261401,val,53,165,30360826,g_101011110,validation,0,0.05,0.14246341586112976,0.11658024042844772
m1_repeat,static,20261401,val,54,165,30360826,g_111001110,validation,0,0.05,0.15378563106060028,0.1872342973947525
m1_repeat,static,20261401,val,55,165,30360826,g_111010110,validation,0,0.05,0.1436261087656021,0.13357606530189514
m1_repeat,static,20261401,val,56,199,30360860,g_011010111,validation,0,0.05,0.19585417211055756,0.18941622972488403
m1_repeat,static,20261401,val,57,199,30360860,g_101011110,validation,0,0.05,0.12390071898698807,0.08979415893554688
m1_repeat,static,20261401,val,58,199,30360860,g_111001110,validation,0,0.05,0.23159226775169373,0.36313876509666443
m1_repeat,static,20261401,val,59,199,30360860,g_111010110,validation,0,0.05,0.1751737743616104,0.17608453333377838
m1_repeat,static,20261401,val,60,193,30360854,g_011010111,validation,1,0.05,0.24690169095993042,0.27322638034820557
m1_repeat,static,20261401,val,61,193,30360854,g_101011110,validation,1,0.05,0.21489205956459045,0.25991544127464294
m1_repeat,static,20261401,val,62,193,30360854,g_111001110,validation,1,0.05,0.5685954093933105,0.6617388725280762
m1_repeat,static,20261401,val,63,193,30360854,g_111010110,validation,1,0.05,0.24862757325172424,0.26919957995414734
m1_repeat,static,20261401,val,64,170,30360831,g_011010111,validation,1,0.02,0.2780318260192871,0.4800800085067749
m1_repeat,static,20261401,val,65,170,30360831,g_101011110,validation,1,0.02,0.18786700069904327,0.38775742053985596
m1_repeat,static,20261401,val,66,170,30360831,g_111001110,validation,1,0.02,0.3794625997543335,0.6157477498054504
m1_repeat,static,20261401,val,67,170,30360831,g_111010110,validation,1,0.02,0.2834237217903137,0.491773784160614
m1_repeat,static,20261401,val,68,185,30360846,g_011010111,validation,0,0.05,0.13132108747959137,0.13407063484191895
m1_repeat,static,20261401,val,69,185,30360846,g_101011110,validation,0,0.05,0.1500566005706787,0.1936376839876175
m1_repeat,static,20261401,val,70,185,30360846,g_111001110,validation,0,0.05,0.18905751407146454,0.26642701029777527
m1_repeat,static,20261401,val,71,185,30360846,g_111010110,validation,0,0.05,0.13967014849185944,0.15356120467185974
