reference_kind,case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds
raw_learned,b68a57ff53cf5cbd1d8c,ood,two_interface,3181,jacru_m2,29,0.43423693467482755,0.029790161341535268,0.0600300653155687,-0.009399829798836965,0.6830984607094636,0.2533166390870218,0.25124775477374117,0.8557822108268738,0.04096842980017066,13,13,1,1,0.011151708953548223
raw_learned,0b247ca300bd186b2aa8,ood,smooth_no_interface,3191,jacru_m2,29,0.34913673355556724,0.039645717957869885,0.039593828266764386,0.006719089075282763,0.6006302024559032,0.21114029301598955,0.20966521807908267,0.8584080338478088,0.0507728466432581,13,13,1,1,0.00890895799966529
raw_learned,2aa10b47cf2ae3da6dfc,ood,single_interface,3191,jacru_m2,29,0.4191165078059108,0.052174340359503475,0.04848185753901981,-0.003074535191555513,0.6721054445266094,0.20606014804920475,0.207182783117944,0.8601396083831787,0.06363482223226874,13,13,1,1,0.010634416015818715
raw_learned,00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.4906737067498917,0.03452479030971911,0.07375221860557919,-0.007851158338735524,0.7498028947123007,0.26594102511365025,0.26327713358600036,0.8561955094337463,0.04718280034138576,13,13,1,1,0.011195208004210144
raw_learned,6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,0.24437040688428066,0.025046358882609258,0.028416151383460864,0.0037315390786564918,0.44928284039176813,0.1968005393869948,0.19652104819614089,0.8885008096694946,0.053167573303292054,13,13,1,1,0.010023957991506904
raw_learned,cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,43,0.42827706897402273,0.05327178985916096,0.04901730567997756,0.0025948062097874763,0.6906332915561224,0.23968627366478532,0.23904411929158706,0.889441728591919,0.06677089211171457,13,13,1,1,0.013742832990828902
raw_learned,b06a75091983ab395677,development,smooth_no_interface,2113,jacru_m2,43,0.24938346854266852,0.021509371457041248,0.0273557238320691,0.0010462478214973208,0.45198424010515165,0.2521810751022505,0.25180235812624974,0.888035774230957,0.047498902896307954,13,13,1,1,0.014304000011179596
raw_learned,423593699e2b6baeef3f,development,single_interface,2113,jacru_m2,43,0.675299529838856,0.06214171087923269,0.07956062108199315,-0.0016132353907576573,0.8215475150222679,0.2166137700202049,0.2181531403475596,0.8894475698471069,0.0659244027324603,13,13,1,1,0.011248832975979894
raw_learned,5639798ee009ab4df707,development,smooth_no_interface,2129,jacru_m2,43,0.2509457353295698,0.022894696456739704,0.02913641713529896,0.0020622318190751656,0.4616147663555517,0.2299901973677292,0.22938065069547842,0.8882704973220825,0.049641550926425436,13,13,1,1,0.010452082962729037
raw_learned,9f862d87f3c25fedf3e1,development,single_interface,2129,jacru_m2,43,0.4700004397726512,0.056252061282697705,0.05529240062836948,-0.008434081261023138,0.7109821431935328,0.25641045770291476,0.2543493663102139,0.8896075487136841,0.0670247387998344,13,13,1,1,0.011586208012886345
raw_learned,17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,jacru_m2,43,0.28340465898268297,0.030269890563157056,0.029805310141236847,0.0023657881684949395,0.49970265617703125,0.22867062073565464,0.22750210002313037,0.8885510563850403,0.05444158040003261,13,13,1,1,0.010308833967428654
raw_learned,6be92a896230a00c27bc,development,single_interface,2141,jacru_m2,43,0.35060806306441694,0.03577878071080834,0.04519445885606608,0.0011943566526149423,0.5938862012893266,0.29924031322134265,0.30169302141454085,0.8885440230369568,0.0580522668397278,13,13,1,1,0.009858208009973168
raw_learned,2f2ee4ffd95bd30b9d41,development,smooth_no_interface,2153,jacru_m2,43,0.24093571147838594,0.028137709578570348,0.02730337979965272,0.00544067215271858,0.45544574218721057,0.20473800580664764,0.20317709574404366,0.8888945579528809,0.05597305978839326,13,13,1,1,0.011726708966307342
raw_learned,317ac465ce89a727ceb8,development,single_interface,2153,jacru_m2,43,0.37804618906999354,0.033610644268246066,0.0438251869044939,0.0036278753013936718,0.5657529752041807,0.27895286068891073,0.28056876054978797,0.8886493444442749,0.05773368983014382,13,13,1,1,0.009905916987918317
raw_learned,80f83d2b9da59c138e54,development,smooth_no_interface,2161,jacru_m2,43,0.2565852339281657,0.01981564975083172,0.029535089222287526,-0.00019661992873471412,0.4620343388071664,0.2606205264537727,0.2592880452110319,0.8878650069236755,0.04413809135397148,13,13,1,1,0.009489583026152104
raw_learned,817ed62303fd3253a425,development,single_interface,2161,jacru_m2,43,0.4750745524010113,0.04939991271220051,0.05541647586514471,-0.002375967872823747,0.6804191219220359,0.28578268233800275,0.28473728751983907,0.8889161944389343,0.06336364853267473,13,13,1,1,0.012665749993175268
raw_learned,c12970cf110f1be99b82,ood,smooth_no_interface,3109,jacru_m2,43,0.3052490919743402,0.03799677783879607,0.035397167378058154,0.004484014750819624,0.5579253394028815,0.20049664576067414,0.20105890607801885,0.8878140449523926,0.05900816048201563,13,13,1,1,0.009451375051867217
raw_learned,c574fbda17385d89b138,ood,single_interface,3109,jacru_m2,43,0.487419564635616,0.05562536580299806,0.05630388901516909,-0.0037429181273731103,0.7424175732121554,0.22050534633583188,0.2189997447781381,0.8878284692764282,0.0629826394609646,13,13,1,1,0.010148000030312687
