split_role,rig_id,view_index,depth_offset,detector_offset,coefficient
train_oracle,dco-rig-001,6,0,2,0.0034601032454964417
train_oracle,dco-rig-001,6,1,-2,-0.0001313184590595879
train_oracle,dco-rig-001,6,1,-1,-0.00022487013542370294
train_oracle,dco-rig-001,6,1,0,-0.02178334576269716
train_oracle,dco-rig-001,6,1,1,0.00038800530868270144
train_oracle,dco-rig-001,6,1,2,0.00026173726838213775
train_oracle,dco-rig-001,6,2,-2,-4.504653273887144e-05
train_oracle,dco-rig-001,6,2,-1,7.692866804438314e-05
train_oracle,dco-rig-001,6,2,0,0.0005303551093282736
train_oracle,dco-rig-001,6,2,1,5.816761395942667e-05
train_oracle,dco-rig-001,6,2,2,-6.1031511623791603e-05
train_oracle,dco-rig-002,0,-2,-2,0.0003199347439815884
train_oracle,dco-rig-002,0,-2,-1,-0.00015742379083288837
train_oracle,dco-rig-002,0,-2,0,0.00031733297130351535
train_oracle,dco-rig-002,0,-2,1,-0.00036933873293468
train_oracle,dco-rig-002,0,-2,2,0.0002010459364256822
train_oracle,dco-rig-002,0,-1,-2,0.0004395231128862026
train_oracle,dco-rig-002,0,-1,-1,0.0043615687140881815
train_oracle,dco-rig-002,0,-1,0,0.05178872681997206
train_oracle,dco-rig-002,0,-1,1,0.0024323973023366173
train_oracle,dco-rig-002,0,-1,2,-0.0017738700681777788
train_oracle,dco-rig-002,0,0,-2,-0.009377856480216627
train_oracle,dco-rig-002,0,0,-1,-0.006140777885614893
train_oracle,dco-rig-002,0,0,0,0.9768977319546263
train_oracle,dco-rig-002,0,0,1,0.05036606702256062
train_oracle,dco-rig-002,0,0,2,-0.012099648991876391
train_oracle,dco-rig-002,0,1,-2,-0.001204596591187651
train_oracle,dco-rig-002,0,1,-1,-0.00888760405235661
train_oracle,dco-rig-002,0,1,0,-0.03590317188484919
train_oracle,dco-rig-002,0,1,1,0.0004756913408527912
train_oracle,dco-rig-002,0,1,2,0.004408441620400977
train_oracle,dco-rig-002,0,2,-2,0.00011361476425563165
train_oracle,dco-rig-002,0,2,-1,0.0008583082513805393
train_oracle,dco-rig-002,0,2,0,0.0022444664829426456
train_oracle,dco-rig-002,0,2,1,-0.00015298681408701785
train_oracle,dco-rig-002,0,2,2,-0.0004298686901439121
train_oracle,dco-rig-002,1,-2,-2,-0.0003603245911666855
train_oracle,dco-rig-002,1,-2,-1,0.0006371334114240552
train_oracle,dco-rig-002,1,-2,0,-0.0004391901962756552
train_oracle,dco-rig-002,1,-2,1,-0.00036726304728636303
train_oracle,dco-rig-002,1,-2,2,0.00021915348071019507
train_oracle,dco-rig-002,1,-1,-2,-0.0009169767261484991
train_oracle,dco-rig-002,1,-1,-1,0.003828557568724604
train_oracle,dco-rig-002,1,-1,0,0.051590725087879444
train_oracle,dco-rig-002,1,-1,1,-0.0017262618214283038
train_oracle,dco-rig-002,1,-1,2,-0.000745132928698878
train_oracle,dco-rig-002,1,0,-2,0.004116148079096169
train_oracle,dco-rig-002,1,0,-1,-0.021799854701017748
train_oracle,dco-rig-002,1,0,0,0.9881849498002586
train_oracle,dco-rig-002,1,0,1,0.05142840772511356
train_oracle,dco-rig-002,1,0,2,-0.015783996632625558
train_oracle,dco-rig-002,1,1,-2,0.006499572271028368
train_oracle,dco-rig-002,1,1,-1,-0.015945308335061182
train_oracle,dco-rig-002,1,1,0,-0.04078935363159025
train_oracle,dco-rig-002,1,1,1,0.007531033740688618
train_oracle,dco-rig-002,1,1,2,-0.003172049637435792
train_oracle,dco-rig-002,1,2,-2,-0.0002126718290409752
train_oracle,dco-rig-002,1,2,-1,0.0016218761678362108
train_oracle,dco-rig-002,1,2,0,0.0031961899545015996
train_oracle,dco-rig-002,1,2,1,-0.000950333641943215
train_oracle,dco-rig-002,1,2,2,0.0005466808350983189
train_oracle,dco-rig-002,2,-2,-2,-4.2126419718764616e-05
train_oracle,dco-rig-002,2,-2,-1,0.00030119983337167786
train_oracle,dco-rig-002,2,-2,0,-0.0002943824941318426
train_oracle,dco-rig-002,2,-2,1,-0.00023301235371551965
train_oracle,dco-rig-002,2,-2,2,0.00010722697128760444
train_oracle,dco-rig-002,2,-1,-2,-0.002167518384467681
train_oracle,dco-rig-002,2,-1,-1,0.005241657415458439
train_oracle,dco-rig-002,2,-1,0,0.04846805909832262
train_oracle,dco-rig-002,2,-1,1,0.00012959116736829335
train_oracle,dco-rig-002,2,-1,2,-0.0005480781100629799
train_oracle,dco-rig-002,2,0,-2,-0.013456697048696347
train_oracle,dco-rig-002,2,0,-1,-0.020467764520914047
train_oracle,dco-rig-002,2,0,0,0.920909820839489
train_oracle,dco-rig-002,2,0,1,0.03255477214271183
train_oracle,dco-rig-002,2,0,2,-0.017312287905865507
train_oracle,dco-rig-002,2,1,-2,0.004804369270995574
train_oracle,dco-rig-002,2,1,-1,-0.011231983222560369
train_oracle,dco-rig-002,2,1,0,-0.040015588384785056
train_oracle,dco-rig-002,2,1,1,0.00981852796722765
train_oracle,dco-rig-002,2,1,2,-0.003329642635664975
train_oracle,dco-rig-002,2,2,-2,-0.00017473920776050908
train_oracle,dco-rig-002,2,2,-1,0.0010080550172075437
train_oracle,dco-rig-002,2,2,0,0.0030287190503241693
train_oracle,dco-rig-002,2,2,1,-0.0013578808233962304
train_oracle,dco-rig-002,2,2,2,0.0005972380121330918
train_oracle,dco-rig-002,3,-2,-2,0.00027923213078415166
train_oracle,dco-rig-002,3,-2,-1,-0.00015261024161341506
train_oracle,dco-rig-002,3,-2,0,0.0003974251329247461
train_oracle,dco-rig-002,3,-2,1,-0.00039279968945704
train_oracle,dco-rig-002,3,-2,2,0.00023733496338169962
train_oracle,dco-rig-002,3,-1,-2,0.0006011059276816684
train_oracle,dco-rig-002,3,-1,-1,0.0045592029917021605
train_oracle,dco-rig-002,3,-1,0,0.05106613732711416
train_oracle,dco-rig-002,3,-1,1,0.0025962811430090597
train_oracle,dco-rig-002,3,-1,2,-0.0021830428037805942
train_oracle,dco-rig-002,3,0,-2,-0.00881596203019801
train_oracle,dco-rig-002,3,0,-1,-0.0076772980117392154
train_oracle,dco-rig-002,3,0,0,0.9867289967571875
train_oracle,dco-rig-002,3,0,1,0.04616043547880868
train_oracle,dco-rig-002,3,0,2,-0.009009583974794233
train_oracle,dco-rig-002,3,1,-2,-0.0013815428348943795
train_oracle,dco-rig-002,3,1,-1,-0.008860944215635972
train_oracle,dco-rig-002,3,1,0,-0.03613845127673942
