base_seed,family,source,frame_index,mode,selected_step,relative_change,cancellation_ratio
607,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,shift_u,0.0125,0.0005136620505469832,21472659588.33828
607,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,shift_v,0.025,0.004243160890872336,29136889332.374798
607,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,yaw,0.003125,2.6583773950419614e-08,4186365908.781688
607,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,pitch,0.025,0.003144198939185261,12263270868.568018
607,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,roll,0.0125,0.0004970951287685885,11074619292.238144
607,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,shift_u,0.0125,0.00031007632020493316,19446433345.6423
607,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,shift_v,0.05,0.002938248642491676,53939757753.908104
607,smooth_plume,voxelized_teacher_same_forward_family,0,yaw,0.003125,5.930319735956411e-08,840764289.4169631
607,smooth_plume,voxelized_teacher_same_forward_family,0,pitch,0.025,0.0004593128929291504,3757490392.445302
607,smooth_plume,voxelized_teacher_same_forward_family,0,roll,0.0125,6.70550147363755e-05,4070384405.628625
607,smooth_plume,voxelized_teacher_same_forward_family,0,shift_u,0.05,0.003942277879016954,87622190953.04381
607,smooth_plume,voxelized_teacher_same_forward_family,0,shift_v,0.05,0.0045714223108812655,73445954137.27061
607,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,yaw,0.05,0.004781475274285785,63052770517.859436
607,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,pitch,0.05,0.0029640541938346114,24907959023.30241
607,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,roll,0.0125,0.00011306707029734563,15090566737.626709
607,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,shift_u,0.05,0.004097752418272655,95278377660.7491
607,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,shift_v,0.05,0.0032605397936469297,49865946763.40269
607,shock_expansion_pair,voxelized_teacher_same_forward_family,2,yaw,0.025,0.0024020718641206583,26139561436.708702
607,shock_expansion_pair,voxelized_teacher_same_forward_family,2,pitch,0.05,0.0019097341729730768,17273730728.055775
607,shock_expansion_pair,voxelized_teacher_same_forward_family,2,roll,0.0125,1.504516311862847e-05,9071115855.58695
607,shock_expansion_pair,voxelized_teacher_same_forward_family,2,shift_u,0.025,0.0028049049872443882,40086983418.71092
607,shock_expansion_pair,voxelized_teacher_same_forward_family,2,shift_v,0.05,0.0028898504033002727,52644034094.003075
