base_seed,ridge_alpha,camera_subset,estimated_raw_logdet,estimated_regularized_profile_logdet,estimated_raw_rank,estimated_regularized_profile_rank,teacher_raw_logdet,teacher_regularized_profile_logdet,teacher_data_only_relative_rank,teacher_raw_rank,teacher_regularized_profile_rank,field_operator_rank,field_operator_row_count,dual_svd_relative_difference
211,0.002,3;4;5,32.55531069343887,4.63861333712546,5,5,27.70651325682418,0.3333378408295039,0,5,5,150,150,3.362753472228553e-15
211,0.01,0;1;2,31.479468494920262,12.051159380773731,5,5,27.372360836968816,7.050761742878642,0,5,5,150,150,1.4467140757151725e-15
211,0.01,0;1;3,30.595789614245444,19.11927342630659,5,5,26.260104877445663,14.534910350931014,0,5,5,150,150,1.1850349159996172e-14
211,0.01,0;1;4,32.25014545064161,19.538708174102947,5,5,27.863278573339684,15.434209947166623,0,5,5,150,150,2.5835502625710604e-14
211,0.01,0;1;5,32.09705335661703,11.888939540777722,5,5,27.249128505793554,6.882798244571024,0,5,5,150,150,1.620267598119398e-15
211,0.01,0;2;3,30.059295853574152,19.026364976754436,5,5,25.79671896979363,14.305037994763012,0,5,5,150,150,9.880169771458071e-15
211,0.01,0;2;4,31.714258500411965,10.253719988059565,5,5,27.666399174588083,4.8952966704251875,0,5,5,150,150,2.0894704032751812e-15
211,0.01,0;2;5,31.491074914847722,12.702549304997982,5,5,26.79802034770178,7.663025208814615,0,5,5,150,150,3.560943117053775e-15
211,0.01,0;3;4,31.049069210714592,19.22816167648357,5,5,26.15965389865578,14.680789184840638,0,5,5,150,150,1.4035507601986161e-14
211,0.01,0;3;5,30.780132981082975,18.979576658611798,5,5,25.523893103041857,14.26832189212919,0,5,5,150,150,7.696238651934857e-15
211,0.01,0;4;5,32.49548998381015,11.433782832218181,5,5,27.63885107279183,5.927116224799931,0,5,5,150,150,1.6413199389228197e-15
211,0.01,1;2;3,31.675791933480763,12.244643535923757,5,5,27.62485060079949,7.440002960074853,0,5,5,150,150,2.5409367388973026e-15
211,0.01,1;2;4,32.89123433418335,20.025003481495112,5,5,28.929543099651138,15.95535168609685,0,5,5,150,150,1.481502751281179e-14
211,0.01,1;2;5,32.720539246984856,13.448887695030049,5,5,28.268400364960982,8.634819813349687,0,5,5,150,150,7.180107144191695e-15
211,0.01,1;3;4,32.47619092300305,19.534972324543293,5,5,28.042062668577728,15.34992614404879,0,5,5,150,150,2.3402530430365334e-14
211,0.01,1;3;5,32.230558016475506,10.671059258445045,5,5,27.48706859878917,5.972741000330787,0,5,5,150,150,3.217534159601243e-15
211,0.01,1;4;5,33.56353877162336,19.97958443442644,5,5,28.92212313368467,15.831566517083063,0,5,5,150,150,2.3022239305025328e-14
211,0.01,2;3;4,31.857519486230366,12.411998990998208,5,5,27.75138982722353,8.166514876215484,0,5,5,150,150,1.516213187443398e-15
211,0.01,2;3;5,31.565534698500375,13.160014277895954,5,5,26.927332179268678,8.438399041531953,0,5,5,150,150,3.9110596160892664e-15
211,0.01,2;4;5,32.96540928083881,13.231907065369356,5,5,28.59013418212922,8.652706734065772,0,5,5,150,150,4.194808774844388e-15
211,0.01,3;4;5,32.55531069343887,12.267545109514359,5,5,27.70651325682418,7.916173240228334,0,5,5,150,150,2.68198822861143e-15
211,1.0,0;1;2,31.479468494920262,27.74297986062157,5,5,27.372360836968816,23.284251600407558,0,5,5,150,150,6.403685601712004e-16
211,1.0,0;1;3,30.595789614245444,27.487347604876273,5,5,26.260104877445663,23.00687110497457,0,5,5,150,150,6.473048904374568e-16
211,1.0,0;1;4,32.25014545064161,29.1890444498674,5,5,27.863278573339684,24.87029646895534,0,5,5,150,150,6.640326464312473e-16
211,1.0,0;1;5,32.09705335661703,28.06754959357129,5,5,27.249128505793554,23.072959777739456,0,5,5,150,150,8.075009250483984e-16
211,1.0,0;2;3,30.059295853574152,27.23135930755318,5,5,25.79671896979363,22.727641541276515,0,5,5,150,150,6.661863590590649e-16
