case_id,case_index,family,active_views,relative_noise,method,edge_tilt_ratio,warm_h1_iterations,correction_iterations,field_relative_l2,gradient_relative_l2,front_top10_f1,weighted_residual_relative_l2,heldout_clean_relative_l2,saved_residual_consistency_relative_l2,forward_calls,adjoint_calls,evaluator_forward_calls,edge_direction_uses,edge_direction_rejections,edge_backtracks,maximum_data_residual_increase,maximum_adjoint_identity_relative_defect,solve_wall_seconds,maximum_resident_set_bytes
dev-5v-thin,1,thin_front,5,0.05,h1_20,,20,0,0.8841071128845215,1.1586169004440308,0.3765639364719391,0.057211022824048996,0.5477281212806702,3.849515906040324e-06,20,20,1,0,0,0,0.0,0.0,0.12025466607883573,374145024
dev-5v-thin,1,thin_front,5,0.05,h19_c1_edge_000,0.0,19,1,0.8895372748374939,1.1673123836517334,0.3759536147117615,0.05628589913249016,0.5557965636253357,3.938320332963485e-06,20,20,1,0,0,0,0.0,0.0,0.12992066703736782,374161408
dev-5v-thin,1,thin_front,5,0.05,h19_c1_edge_100,1.0,19,1,0.88908451795578,1.163788914680481,0.3765639364719391,0.057570915669202805,0.5555399656295776,3.994729922851548e-06,20,20,1,1,0,0,0.0,1.1012449618874598e-07,0.1318464579526335,374161408
dev-5v-thin,1,thin_front,5,0.05,h19_c1_edge_200,2.0,19,1,0.8889400959014893,1.1624281406402588,0.3765639364719391,0.058386776596307755,0.5554962158203125,3.832175480056321e-06,20,20,1,1,0,0,0.0,1.1012441802904505e-07,0.13325945800170302,374177792
dev-5v-thin,1,thin_front,5,0.05,h19_c1_edge_400,4.0,19,1,0.8889473676681519,1.162009596824646,0.3765639364719391,0.05918861925601959,0.5555742383003235,3.6596979953174014e-06,20,20,1,1,0,0,0.0,1.1012450329417334e-07,0.12919391703326255,374177792
dev-5v-thin,1,thin_front,5,0.05,h18_c2_edge_000,0.0,18,2,0.8945650458335876,1.1747709512710571,0.3780897259712219,0.05804082751274109,0.5638061761856079,3.77001060769544e-06,20,20,1,0,0,0,0.0,0.0,0.13504745799582452,374194176
dev-5v-thin,1,thin_front,5,0.05,h18_c2_edge_100,1.0,18,2,0.8936605453491211,1.169317364692688,0.37870001792907715,0.059613507241010666,0.5631300210952759,3.6167073176329723e-06,20,20,1,2,0,0,0.0,1.0608278699919538e-07,0.14134808303788304,374308864
dev-5v-thin,1,thin_front,5,0.05,h18_c2_edge_200,2.0,18,2,0.892938494682312,1.1658509969711304,0.3780897259712219,0.06027478724718094,0.5624966621398926,3.4631493690540083e-06,20,20,1,2,0,0,0.0,6.391925211346461e-08,0.14172274991869926,374407168
dev-5v-thin,1,thin_front,5,0.05,h18_c2_edge_400,4.0,18,2,0.8931229114532471,1.1647233963012695,0.37900522351264954,0.06182233989238739,0.5629037022590637,3.38275708600122e-06,20,20,1,2,0,0,0.0,1.0608274436663123e-07,0.13881466607563198,374407168
dev-5v-thin,1,thin_front,5,0.05,h16_c4_edge_000,0.0,16,4,0.9022711515426636,1.1851073503494263,0.3762587606906891,0.06368546932935715,0.5768088698387146,3.041166564798914e-06,20,20,1,0,0,0,0.0,1.1121942833369758e-07,0.14649745798669755,374407168
dev-5v-thin,1,thin_front,5,0.05,h16_c4_edge_100,1.0,16,4,0.9005083441734314,1.1762875318527222,0.3774794042110443,0.06560152024030685,0.5751853585243225,2.8813801691285335e-06,20,20,1,4,0,0,0.0,9.3605457607282e-08,0.15733079193159938,374407168
