method,method_label,source_split,independent_field_count,layouts_per_field,mean_field_rel_l2,median_field_rel_l2,p90_field_rel_l2,mean_audit_reprojection_rel_l2,mean_used_noisy_reprojection_rel_l2,mean_used_clean_reprojection_rel_l2,mean_correction_vs_feasible_relative_l2,mean_outside_support_relative_l2,mean_negative_voxel_fraction
fno_geometry,FNO + fixed Landweber,test_iid,32,4,0.14017404056936875,0.10009385047812877,0.23931721027036465,0.21173327082924995,0.026297362322866856,0.027439703640433744,0.1903158133262502,0.0,0.0
fno_pbb_fixed64,FNO + fixed PBB-64,test_iid,32,4,0.13275580632994283,0.10042892636758437,0.21794474164871971,0.18361626522225316,0.023758979235021828,0.02611752198160907,0.21053822015738394,0.0,0.0
fno_pbb_discrepancy,FNO + PBB + active discrepancy,test_iid,32,4,0.13118619246991364,0.09653858171919137,0.21845550804587927,0.1929732005795028,0.025152200675584588,0.025856793869768968,0.19940662873524906,0.0,0.0
fno_pbb_camera_discrepancy,FNO + PBB + camera-balanced discrepancy,test_iid,32,4,0.13118619246991364,0.09653858171919137,0.21845550804587927,0.1929732005795028,0.025152200675584588,0.025856793869768968,0.19940662873524906,0.0,0.0
fno_pbb_ncp,FNO + PBB + NCP whiteness,test_iid,32,4,0.13329993454394146,0.09874032012532646,0.2180854456777477,0.18698424517762519,0.024263404566173652,0.026225809604202753,0.20744521894918794,0.0,0.0
fno_pbb_hybrid,FNO + PBB + discrepancy AND NCP,test_iid,32,4,0.13118619246991364,0.09653858171919137,0.21845550804587927,0.1929732005795028,0.025152200675584588,0.025856793869768968,0.19940662873524906,0.0,0.0
fno_pbb_generator_sigma,FNO + PBB + generator-sigma discrepancy (oracle),test_iid,32,4,0.1298183026724593,0.09763484063598074,0.218162280812417,0.18862154638456297,0.024970954380866855,0.025796282102672163,0.20197449389324038,0.0,0.0
fno_pbb_truth_oracle,FNO + PBB + truth-best stop (oracle),test_iid,32,4,0.12822092763830933,0.09576929791261347,0.21794474164871971,0.18286645921845635,0.02455981521128543,0.02567919326275779,0.20529425711476418,0.0,0.0
feasible_fno,FNO + hard support,test_joint_ood,32,4,0.5955741837879216,0.5925259052491009,0.6478047383513648,0.7572278486937778,0.29309545615224275,0.2856538567638133,0.0,0.0,0.0
fno_geometry,FNO + fixed Landweber,test_joint_ood,32,4,0.4620644894388974,0.4577988898556036,0.510965768644612,0.5825339696861479,0.08448300188835434,0.08109420365397454,0.37153029049278896,0.0,0.0
