design_id,seed,method,rank,noise_level,view_count,dynamics,reconstruction_seconds,postprocess_seconds,rel_l2_global,paper_l2_squared,mean_frame_rel_l2_global,global_cc,temporal_smoothness,temporal_gradient_rel_l2,temporal_curvature_rel_l2,dynamics_energy_ratio,centroid_rmse,mass_trace_rmse,heldout_reprojection_rel_l2
d-fast_v-9_n-0.28_s-20260714,20260714,lowrank,5,0.28,9,fast,0.21978508296888322,0.006971957976929843,0.29938825151289034,0.08963332514394566,0.2995288023338267,0.9441242204504313,0.30185334639658057,0.6550178845258278,0.9173509032891695,0.9725257184216041,0.0509205687972308,0.12755064257556945,0.23138367642030322
d-fast_v-9_n-0.28_s-20260714,20260714,lowrank,8,0.28,9,fast,0.21978508296888322,0.00529658398590982,0.3101753462928019,0.09620874544785958,0.31031472329340787,0.9398944537535375,0.33621901623965705,0.7991226810533459,1.251449419511722,1.0779670308007272,0.052267959210875965,0.13288920428617002,0.2569981206888429
d-fast_v-9_n-0.28_s-20260715,20260715,framewise,0,0.28,9,fast,0.19699791597668082,0.0,0.33299176150730714,0.11088351323173933,0.3332241625434315,0.9303852803298762,0.3870033726771302,0.9851198020001557,1.6100127652656393,1.2229569715408999,0.055672349675105176,0.14155563247383962,0.2954601848055355
d-fast_v-9_n-0.28_s-20260715,20260715,lowrank,1,0.28,9,fast,0.19699791597668082,0.02977762499358505,0.35796649996201774,0.12814001509505724,0.3560488054150258,0.9190772929842265,0.17782902856176894,0.8006246142953543,0.9053381590170574,0.617124363204571,0.048707885595193776,0.1264624630638084,0.33381030600848927
d-fast_v-9_n-0.28_s-20260715,20260715,lowrank,2,0.28,9,fast,0.19699791597668082,0.009369250037707388,0.3043756225711517,0.09264451961557618,0.3038464447823592,0.9421895679751247,0.2434948644323334,0.6684341623874376,0.85904645216886,0.7818624674015389,0.04929888925289151,0.13295445350022542,0.21853306469569814
d-fast_v-9_n-0.28_s-20260715,20260715,lowrank,3,0.28,9,fast,0.19699791597668082,0.03061204100959003,0.29580435344519296,0.08750021551712864,0.2956607731155523,0.9454923196608176,0.2769667157204702,0.5962208019183632,0.7675103258010858,0.8885007101265383,0.05026558997427774,0.13340094009299533,0.21750223603339094
d-fast_v-9_n-0.28_s-20260715,20260715,lowrank,5,0.28,9,fast,0.19699791597668082,0.009452875005081296,0.2989822396951298,0.08939037965311608,0.29883616757440024,0.9442801369037503,0.306134480518187,0.65552685724179,0.9348520382791073,0.9841125276414409,0.05113759064579181,0.12694569353098878,0.2284155069070896
d-fast_v-9_n-0.28_s-20260715,20260715,lowrank,8,0.28,9,fast,0.19699791597668082,0.0077287498861551285,0.31057225099121355,0.09645512308574934,0.3104154385252136,0.9397355965160927,0.336487244198589,0.789100149070088,1.2340418262664563,1.0770519698283156,0.052965385081412776,0.13180623378840164,0.25893290410543146
d-fast_v-9_n-0.28_s-20260716,20260716,framewise,0,0.28,9,fast,0.20099004195071757,0.0,0.3333546957021443,0.11112535314666923,0.333720495817979,0.9302277551368806,0.3895319160180911,0.9920611047470125,1.6176814246732127,1.231038860963543,0.055558633715256725,0.14095801002346744,0.2962493834067447
d-fast_v-9_n-0.28_s-20260716,20260716,lowrank,1,0.28,9,fast,0.20099004195071757,0.018431917065754533,0.3574874800059485,0.12779729836100343,0.3560010876661444,0.9193032251158317,0.17832437899164771,0.8010926153028051,0.9022092620848153,0.6276160117808458,0.04946714844970528,0.12473457757667147,0.337457160805733
d-fast_v-9_n-0.28_s-20260716,20260716,lowrank,2,0.28,9,fast,0.20099004195071757,0.007365250028669834,0.30409882318373216,0.09247609426173078,0.30376134255507936,0.9422978839010873,0.24557728717315708,0.6696984544564402,0.8575099881219039,0.7900591566981454,0.050117049300477445,0.13084518797972414,0.2249967636356486
d-fast_v-9_n-0.28_s-20260716,20260716,lowrank,3,0.28,9,fast,0.20099004195071757,0.01561883301474154,0.29607874548786234,0.08766262352966638,0.2961417872363365,0.9453882266773639,0.2787358165133253,0.6051307695080917,0.7736691443907902,0.8972621118264829,0.05067675894690813,0.13214371668866304,0.22574099743093037
