axis,condition,condition_value,seed,method,rank,view_count,frame_count,noise_level,bias,dynamics,reconstruction_seconds,postprocess_seconds,rel_l2_global,paper_l2_squared,mean_frame_rel_l2_global,global_cc,temporal_smoothness,temporal_gradient_rel_l2,temporal_curvature_rel_l2,dynamics_energy_ratio,centroid_rmse,mass_trace_rmse,heldout_reprojection_rel_l2
view_count,views_3,3,20260714,lowrank,3,3,18,0.14,none,smooth,0.1317474580137059,0.20839841710403562,0.5126198347230175,0.26277909495145374,0.5137582470447704,0.8255343405155713,0.16831544106885604,0.9264955547355226,1.0399670924434279,0.9317504370160173,0.049211156139227184,0.1975314788410345,0.4892000995680446
view_count,views_3,3,20260715,framewise,3,3,18,0.14,none,smooth,0.15168541693128645,0.0,0.5281689140814894,0.27896240180201975,0.5297694108367083,0.8135677504069522,0.28311303917689845,1.5058418930402517,3.6378963317456754,1.5401286633645117,0.04941564215019202,0.1933125925446134,0.5080547609738177
view_count,views_3,3,20260715,lowrank,3,3,18,0.14,none,smooth,0.15168541693128645,0.09238537505734712,0.5141463958056538,0.264346516319944,0.515310864525434,0.8243829232239294,0.16757783491172204,0.9231210713510528,1.022207290944043,0.9246393864446755,0.04579750951725522,0.19773400553994547,0.49153677654641925
view_count,views_3,3,20260716,framewise,3,3,18,0.14,none,smooth,0.06808054109569639,0.0,0.5293877539252952,0.2802513940060689,0.5309602275368737,0.8126070406150072,0.2838663971655475,1.5103263452036082,3.656693921082026,1.5447203745793683,0.053088894388400754,0.193428940034029,0.5078947037644911
view_count,views_3,3,20260716,lowrank,3,3,18,0.14,none,smooth,0.06808054109569639,0.01255620806477964,0.5147477242165666,0.26496521958613445,0.5159330633906191,0.8239279850009986,0.1664297506580914,0.9172947730960482,1.002155430854016,0.916457753210065,0.04992363251586281,0.1983072420240815,0.48874940105021675
view_count,views_3,3,20260717,framewise,3,3,18,0.14,none,smooth,0.0746086249127984,0.0,0.5282502311980354,0.27904830676077785,0.529867059185145,0.8135037591348134,0.290927199343759,1.5503098625879475,3.80429271248615,1.584619948990801,0.052254251054761426,0.1930054726327461,0.5164560395793851
view_count,views_3,3,20260717,lowrank,3,3,18,0.14,none,smooth,0.0746086249127984,0.012965207919478416,0.5129915564808953,0.2631603370206916,0.5141138106300552,0.825254430484227,0.16637227068052943,0.9219889904006433,1.0345094450455592,0.9195117884069524,0.04912227137185395,0.19785333334390984,0.4957432666030333
view_count,views_5,5,20260710,framewise,3,5,18,0.14,none,smooth,0.1105947500327602,0.0,0.3705346013384006,0.13729589078900747,0.3711698469081383,0.9130141718163317,0.24829202969544822,1.3104518738365138,3.3888714686576464,1.4774888708631215,0.07291522950749488,0.15716946457579847,0.2996843625634069
view_count,views_5,5,20260710,lowrank,3,5,18,0.14,none,smooth,0.1105947500327602,0.0030602499609813094,0.3556149231106212,0.126461973538973,0.35563617468039393,0.9201770390034252,0.15268154573622264,0.7152837922876674,0.8851718702039194,0.9172740508582569,0.07107573026631338,0.15840959536177035,0.2668753618947385
view_count,views_5,5,20260711,framewise,3,5,18,0.14,none,smooth,0.1005313330097124,0.0,0.3689782920757351,0.1361449800231265,0.36964106301836297,0.9137777644278763,0.24458065132160942,1.2853887265529051,3.3009048702979236,1.4577313206008777,0.0692076574493836,0.15679498021238342,0.2888236052735923
view_count,views_5,5,20260711,lowrank,3,5,18,0.14,none,smooth,0.1005313330097124,0.003151874989271164,0.35491425637243423,0.12596412937639798,0.35493861363593276,0.9205048502360639,0.15362463864011996,0.718375565240458,0.9021744313090544,0.9255086607497693,0.06704628212028733,0.1584738505525136,0.2643768339376443
view_count,views_5,5,20260712,framewise,3,5,18,0.14,none,smooth,0.12391012499574572,0.0,0.3686990090449731,0.13593895927074515,0.3694550672770423,0.9139143853062681,0.2435807800497488,1.2781197007431677,3.258245978920493,1.450031970321843,0.06699794407370796,0.15694162748243504,0.28889118003071645
view_count,views_5,5,20260712,lowrank,3,5,18,0.14,none,smooth,0.12391012499574572,0.03339329094160348,0.3547112224554341,0.12582005133582846,0.3547673165774605,0.9205996983050397,0.15326770836541548,0.7177333265779922,0.8985729014961491,0.922595976573515,0.06487324512988535,0.15852421584160692,0.26599490396947983
