case_id,split,family,base_seed,geometry_digest,warm_checkpoint,method,candidate_paired_call_budget,paired_call_budget,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,full_path_seconds_through_maximum_budget,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,measured_data_residual_norm,clean_reprojection_relative_l2
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,1,zero_start_huber_pdhg_pair_rounded,15,15,15,15,0,0.009252125048078597,0.6217766743769176,0.06317714491741547,0.06018549766335809,0.018557046965531874,0.951833146126575,0.18395594472132348,1.2593257804203146,0.18194175117486225
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,2,zero_start_huber_pdhg_pair_rounded,16,16,16,16,0,0.009760415996424854,0.6159651813257745,0.0625866539038268,0.05962296835683385,0.018149895724713233,0.9600848493388716,0.16704409050832936,1.1435505928481096,0.16486606855899918
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,3,zero_start_huber_pdhg_pair_rounded,17,17,17,17,0,0.010378582985140383,0.6107945992065551,0.062061284218351415,0.05912247666764925,0.017780983138880605,0.9668275779997663,0.15247499058272715,1.043813434793093,0.15014549931110996
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,4,zero_start_huber_pdhg_pair_rounded,18,18,18,18,0,0.010938833002001047,0.6061380114549055,0.061588140191999145,0.05867173757949196,0.0174479324678572,0.9722134936864673,0.13991243247377197,0.957812662604937,0.13744582453611412
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,5,zero_start_huber_pdhg_pair_rounded,19,19,19,19,0,0.011534166056662798,0.6019014226505044,0.061157671189411726,0.05826165271124982,0.01714806974026628,0.9764005035594476,0.12906593737585234,0.883559716201355,0.12647813437153327
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,6,zero_start_huber_pdhg_pair_rounded,20,20,20,20,0,0.0119194999570027,0.5980133214731181,0.06076261112739917,0.057885300052860085,0.016878520876015865,0.9795405456588808,0.11968000157016408,0.8193054679824159,0.11698789448630884
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,7,zero_start_huber_pdhg_pair_rounded,21,21,21,21,0,0.012482665944844484,0.5944179731798603,0.06039729694063051,0.05753728470390917,0.0166363216173328,0.9817754451754606,0.11152903834873026,0.7635055962492162,0.10874986252550237
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,8,zero_start_huber_pdhg_pair_rounded,22,22,22,22,0,0.013133500004187226,0.591070689495477,0.060057187967227955,0.05721328101791221,0.016418550825997587,0.9832334824456379,0.10441658254484411,0.7148151395776321,0.10156724420807262
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,9,zero_start_huber_pdhg_pair_rounded,23,23,23,23,0,0.013853125041350722,0.5879348910953693,0.05973856747514544,0.056909748262407085,0.016222393398046885,0.984028954245602,0.09817470578635962,0.6720844937587436,0.09527126856182205
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,10,zero_start_huber_pdhg_pair_rounded,24,24,24,24,0,0.014584457967430353,0.5849800423450493,0.05943833281630256,0.05662373070998574,0.01604519065962579,0.9842621796845942,0.09266274925895912,0.6343507365484127,0.08972012198846617
3362d0532ed7c2a38730,ood,single_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,0,zero_start_cgls_componentwise,13,13,13,13,0,0.007916708011180162,0.6663345950688266,0.08670861766047899,0.07857504497124866,0.004844178432536511,1.2149484858615858,0.012257111894887908,0.08996934942477294,0.027306865473303396
3362d0532ed7c2a38730,ood,single_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,0,zero_start_cgls_pair_rounded,13,13,13,13,0,0.007916708011180162,0.6663345950688266,0.08670861766047899,0.07857504497124866,0.004844178432536511,1.2149484858615858,0.012257111894887908,0.08996934942477294,0.027306865473303396
3362d0532ed7c2a38730,ood,single_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,1,zero_start_cgls_componentwise,15,14,14,14,0,0.007916708011180162,0.667134236080435,0.08681267314139549,0.07866933968281394,0.00481852862988996,1.2167289544292326,0.010175616008992852,0.07469080483039546,0.02865056331994247
3362d0532ed7c2a38730,ood,single_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,1,zero_start_cgls_pair_rounded,15,15,15,15,0,0.007916708011180162,0.6678379689371158,0.08690424831047214,0.07875232477959662,0.004809837031742777,1.2186471594232005,0.008440695924275122,0.061956187355692735,0.029637139792032783
3362d0532ed7c2a38730,ood,single_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,2,zero_start_cgls_componentwise,16,15,15,15,0,0.007916708011180162,0.6678379689371158,0.08690424831047214,0.07875232477959662,0.004809837031742777,1.2186471594232005,0.008440695924275122,0.061956187355692735,0.029637139792032783
3362d0532ed7c2a38730,ood,single_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,2,zero_start_cgls_pair_rounded,16,16,16,16,0,0.007916708011180162,0.6684682697889553,0.08698626793841534,0.07882665067854472,0.004780476665511806,1.2204479324400201,0.007136654758735848,0.05238429666130954,0.029730945881587593
3362d0532ed7c2a38730,ood,single_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,3,zero_start_cgls_componentwise,17,16,16,16,0,0.007916708011180162,0.6684682697889553,0.08698626793841534,0.07882665067854472,0.004780476665511806,1.2204479324400201,0.007136654758735848,0.05238429666130954,0.029730945881587593
3362d0532ed7c2a38730,ood,single_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,3,zero_start_cgls_pair_rounded,17,17,17,17,0,0.007916708011180162,0.668899417496446,0.08704237221695747,0.07887749217883007,0.004747518596774958,1.221615747263055,0.00617254169978279,0.04530753784326274,0.02994513473113875
3362d0532ed7c2a38730,ood,single_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,4,zero_start_cgls_componentwise,18,17,17,17,0,0.007916708011180162,0.668899417496446,0.08704237221695747,0.07887749217883007,0.004747518596774958,1.221615747263055,0.00617254169978279,0.04530753784326274,0.02994513473113875
