method,model_seed,split,warm_checkpoint,case_count,paired_call_budget,field_relative_l2_mean,h1_seminorm_relative_error_mean,field_gain_mean,h1_gain_mean,measured_reprojection_ratio_mean,clean_reprojection_ratio_mean,measured_reprojection_ratio_to_componentwise_cgls_mean,clean_reprojection_ratio_to_componentwise_cgls_mean,field_harm_rate,worst_field_gain,breakdown_rate,null_component_relative_drift_maximum,recurrence_residual_closure_relative_error_maximum,neural_inference_seconds_mean
grid_deeponet,43,ood,1,18,15,0.6286910553340331,1.2039537467660095,0.030081161744013332,-0.10602243391078978,13.031660018744901,3.1325576861545583,10.632432770419715,3.119650941975068,0.16666666666666666,-0.14267348495123588,0.0,1.5778149444091142e-14,5.615693299073031e-15,0.004900499939038936
grid_deeponet,43,ood,2,18,16,0.6225940045569824,1.186758383036996,0.03564551693325835,-0.12928619622195164,10.393621786280228,2.222270328380094,8.554215399208335,2.2129743652373373,0.16666666666666666,-0.13501815225519564,0.0,1.8671466509425545e-14,8.37669779043814e-15,0.004900499939038936
grid_deeponet,43,ood,3,18,17,0.6193775622893251,1.1780732472916753,0.034871042614413136,-0.15852860707686484,8.279094274492568,1.6777031173971713,6.904874935366908,1.6756378571274613,0.1111111111111111,-0.12695382685042023,0.0,1.3899046145565265e-14,1.4156741702636122e-14,0.004900499939038936
grid_deeponet,43,ood,4,18,18,0.6184560585947716,1.1751680404474445,0.030155829894907678,-0.1556156956052167,6.986352628629976,1.3388875936977798,5.64212416629177,1.337457820776781,0.16666666666666666,-0.1227622080337829,0.0,1.7417594042621903e-14,2.1449250925485163e-14,0.004900499939038936
grid_deeponet,43,ood,5,18,19,0.618397933008558,1.175071114452158,0.024363160716779002,-0.1501595138659647,6.167203755738781,1.1792042548526103,5.141039005311466,1.180743618728895,0.2222222222222222,-0.12125280809478234,0.0,1.3493453787198147e-14,2.952597668438659e-14,0.004900499939038936
grid_deeponet,43,ood,6,18,20,0.6183811505206452,1.1738732112908568,0.018824666021205107,-0.14488318258558083,5.29337009424153,1.082956978175593,4.305767404597658,1.081141080274203,0.2777777777777778,-0.12057550246364945,0.0,1.5194495713455403e-14,3.9808603570922696e-14,0.004900499939038936
grid_deeponet,43,ood,7,18,21,0.6183966689982296,1.1732739822285057,0.013517081350634817,-0.1412554399321125,5.304658863026683,1.0448777727745393,4.317382917122602,1.045167578692068,0.2777777777777778,-0.12204315959710677,0.0,1.7394394293911338e-14,4.404684390859122e-14,0.004900499939038936
grid_deeponet,43,ood,8,18,22,0.6185713251566252,1.1732915727661712,0.008171439254521498,-0.13917778595615754,5.299007709221626,1.0116890988871872,4.102049571550534,1.0132338783283446,0.2777777777777778,-0.12434679217016553,0.0,1.7294319849885288e-14,6.088200850949472e-14,0.004900499939038936
grid_deeponet,43,ood,9,18,23,0.6188835093939627,1.1739827986540186,0.002772935502000683,-0.13856273425413793,5.379910262717515,0.9983977362534878,4.2243685766829735,0.9990407389822976,0.3333333333333333,-0.12742922770765075,0.0,1.3046791898705574e-14,8.868877436828426e-14,0.004900499939038936
grid_deeponet,43,ood,10,18,24,0.6191781363305873,1.174707685167553,-0.002449821906407912,-0.13867290130759258,5.571542831327528,0.9918538195495182,4.483441412172336,0.992901239747797,0.3333333333333333,-0.13071450424722753,0.0,1.6604700571191345e-14,9.796644643869622e-14,0.004900499939038936
