case_id,dimensionless_stress_multiplier,all_gates_pass,cell_id,field_unit_id,ray_prefix_id,family_id,orientation_id,aperture_id,high256_to_high512_output_relative_l2,matched_residual_256_to_512_relative_l2,output_convergence_gate_met,matched_residual_convergence_gate_met
smooth-s2131-orientation_22-narrow,1.0,True,smooth-s2131-orientation_22-narrow__stress_1,smooth-s2131,smooth-s2131,smooth,orientation_22,narrow,4.549515751844576e-05,0.0011286490257653293,True,True
smooth-s2131-orientation_22-narrow,3.0,True,smooth-s2131-orientation_22-narrow__stress_3,smooth-s2131,smooth-s2131,smooth,orientation_22,narrow,4.54272452651339e-05,0.0011262935930214924,True,True
smooth-s2131-orientation_22-narrow,10.0,True,smooth-s2131-orientation_22-narrow__stress_10,smooth-s2131,smooth-s2131,smooth,orientation_22,narrow,4.519708439318644e-05,0.0011185978880392034,True,True
smooth-s2131-orientation_22-wide,1.0,True,smooth-s2131-orientation_22-wide__stress_1,smooth-s2131,smooth-s2131,smooth,orientation_22,wide,5.215471571239008e-05,0.0015824872217570062,True,True
smooth-s2131-orientation_22-wide,3.0,True,smooth-s2131-orientation_22-wide__stress_3,smooth-s2131,smooth-s2131,smooth,orientation_22,wide,5.2096302956340276e-05,0.001573705506766639,True,True
smooth-s2131-orientation_22-wide,10.0,True,smooth-s2131-orientation_22-wide__stress_10,smooth-s2131,smooth-s2131,smooth,orientation_22,wide,5.193970444425566e-05,0.0015821979874723776,True,True
smooth-s2131-orientation_58-narrow,1.0,True,smooth-s2131-orientation_58-narrow__stress_1,smooth-s2131,smooth-s2131,smooth,orientation_58,narrow,9.452179875308808e-06,0.004889776531999966,True,True
smooth-s2131-orientation_58-narrow,3.0,True,smooth-s2131-orientation_58-narrow__stress_3,smooth-s2131,smooth-s2131,smooth,orientation_58,narrow,9.49464167645656e-06,0.0049439341452106635,True,True
smooth-s2131-orientation_58-narrow,10.0,True,smooth-s2131-orientation_58-narrow__stress_10,smooth-s2131,smooth-s2131,smooth,orientation_58,narrow,1.0317529730522005e-05,0.00468940635143734,True,True
smooth-s2131-orientation_58-wide,1.0,False,smooth-s2131-orientation_58-wide__stress_1,smooth-s2131,smooth-s2131,smooth,orientation_58,wide,2.0004062050393348e-05,0.016569375539288906,True,False
smooth-s2131-orientation_58-wide,3.0,False,smooth-s2131-orientation_58-wide__stress_3,smooth-s2131,smooth-s2131,smooth,orientation_58,wide,2.0559348717773723e-05,0.017062139264612627,True,False
smooth-s2131-orientation_58-wide,10.0,False,smooth-s2131-orientation_58-wide__stress_10,smooth-s2131,smooth-s2131,smooth,orientation_58,wide,2.1724529140931176e-05,0.016413702808289483,True,False
wrinkled-s2718-orientation_22-narrow,1.0,True,wrinkled-s2718-orientation_22-narrow__stress_1,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_22,narrow,4.7204597480562364e-05,0.0030150536001808583,True,True
wrinkled-s2718-orientation_22-narrow,3.0,True,wrinkled-s2718-orientation_22-narrow__stress_3,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_22,narrow,4.6115696735694856e-05,0.0029470117138210273,True,True
wrinkled-s2718-orientation_22-narrow,10.0,True,wrinkled-s2718-orientation_22-narrow__stress_10,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_22,narrow,4.267588259508864e-05,0.002484646675781466,True,True
wrinkled-s2718-orientation_22-wide,1.0,True,wrinkled-s2718-orientation_22-wide__stress_1,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_22,wide,4.9932688175245524e-05,0.0031943793691630307,True,True
wrinkled-s2718-orientation_22-wide,3.0,True,wrinkled-s2718-orientation_22-wide__stress_3,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_22,wide,4.947838042466743e-05,0.003157237162745739,True,True
wrinkled-s2718-orientation_22-wide,10.0,True,wrinkled-s2718-orientation_22-wide__stress_10,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_22,wide,4.785073096235269e-05,0.002699633562581519,True,True
wrinkled-s2718-orientation_58-narrow,1.0,True,wrinkled-s2718-orientation_58-narrow__stress_1,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_58,narrow,2.5523696407599014e-05,0.0028250365024794395,True,True
