cluster_id,family,field_harm_over_two_percent_replicate_rate,gradient_harm_over_two_percent_replicate_rate,maximum_active_residual_ratio,maximum_heldout_b_ratio,mean_active_residual_ratio,mean_field_gain_percent,mean_front_f1_gain_percent,mean_gradient_gain_percent,mean_heldout_b_ratio,replicate_count,split,worst_replicate_field_gain_percent,worst_replicate_gradient_gain_percent
lockbox_iid-cluster-014,plume,0.0,0.0,0.9822556209351114,0.9562671813792456,0.9700528757179884,3.0555123207046346,4.6291588063948454,8.456986585947796,0.9366103408141175,4,lockbox_iid,2.34962463779208,7.134674873216948
lockbox_iid-cluster-015,wavy_front,0.0,0.0,1.0318926844662677,0.9573479745901098,1.0180530442572413,2.531269758160366,2.6404511388739764,6.947190291070502,0.9312680768905306,4,lockbox_iid,2.379924471625025,6.537214746635117
lockbox_iid-cluster-016,plume,0.0,0.0,1.056781976149856,0.9676074902791281,1.0275487229617033,2.5116073419926823,4.293322441986547,7.629349628269333,0.9474643947744379,4,lockbox_iid,1.6537967327913121,6.230178005475344
lockbox_iid-cluster-017,wavy_front,0.0,0.0,1.0714077786826328,0.9547270430993714,1.0058312833108303,3.715534548447202,2.2059196249266457,7.935824787769841,0.9434880357148588,4,lockbox_iid,3.2824481367608103,7.373324987920849
lockbox_iid-cluster-018,plume,0.0,0.0,0.9948379907707536,0.9652279282806115,0.9837731331639568,3.231486453461425,3.890536537415797,6.76557773781337,0.948243216736222,4,lockbox_iid,2.2932163416886793,5.530703996982495
lockbox_iid-cluster-019,wavy_front,0.0,0.0,1.0085411139031732,0.9496866898107043,0.9988942102347753,4.325179994609144,2.6131700385745846,8.198004376907209,0.9448604182903066,4,lockbox_iid,3.3440486199043074,7.361064037234485
lockbox_iid-cluster-020,plume,0.0,0.0,0.9978195405054175,0.9514992624382771,0.9857051353014222,4.451917117025684,4.519702420199612,7.271126065619844,0.9377882398917978,4,lockbox_iid,3.2969349531422716,6.108354053327908
lockbox_iid-cluster-021,wavy_front,0.0,0.0,1.0220585321717366,0.9185673433054727,1.0011524358710044,5.074718943569211,3.561934251026103,9.803442725103356,0.8946442314453581,4,lockbox_iid,3.7465720360240535,8.01037222317747
lockbox_iid-cluster-022,plume,0.0,0.0,1.0248977427349926,0.9690508944865035,0.9988683139093284,2.7851155285199107,5.150290785101692,6.9224514988084875,0.9446398594390621,4,lockbox_iid,2.192610710578065,5.784716885726865
lockbox_iid-cluster-023,wavy_front,0.0,0.0,1.0277034101739144,0.9092565288929145,1.0112816456090057,5.53136432197057,1.6229889105110078,9.625187107066251,0.8941520014228601,4,lockbox_iid,5.092673287787102,9.021007362709117
lockbox_joint_ood-cluster-000,thin_front,0.0,0.0,1.0596857029985685,0.9440828351488558,1.0466904456080237,4.724920884075816,1.7932084837764921,8.519641432771937,0.9217708010915606,4,lockbox_joint_ood,3.2030929857798562,6.780475205600875
lockbox_joint_ood-cluster-001,double_front,0.0,0.0,1.0344449217103127,0.9652575473796158,1.0194674777456263,2.686933626091381,3.7538949087192806,6.663259681697248,0.9470243650444989,4,lockbox_joint_ood,1.9460769794035917,5.650005039989164
