case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,reference_kind
35d22c1380baf6593b39,ood,single_interface,3163,pooled_cnn,17,0.6493804100706223,0.07830264657333741,0.07660172531733365,0.00595895092214798,1.007170363805195,0.018409150807235687,0.01989531374190652,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
f0363cd7bec7fc07695b,ood,two_interface,3163,pooled_cnn,17,0.5076157120269245,0.030711868499033162,0.06716353017132119,-0.004676500065686371,0.7607970172831684,0.27615716248769084,0.27645068903749315,,,13,13,1,1,0.0,raw_learned
f0363cd7bec7fc07695b,ood,two_interface,3163,pooled_cnn,17,0.4516812506279552,0.027327710400005933,0.059762742928575224,-0.004041348305691725,0.7511886834072465,0.0076065101694779,0.02243698013986475,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,pooled_cnn,17,0.35022627437247417,0.03558560010648369,0.0339005039695546,0.003094015206147811,0.5724270672229222,0.2717966660686641,0.2719987334399734,,,13,13,1,1,0.0,raw_learned
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,pooled_cnn,17,0.3413380407801798,0.03468248931950711,0.03304015847229632,0.0031419204498913038,0.6095876650064352,0.006473800807708489,0.018680373534080627,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
3362d0532ed7c2a38730,ood,single_interface,3181,pooled_cnn,17,0.4335254100380655,0.056413683610724484,0.051121882072476615,0.005662136656261924,0.6880142404869597,0.2208845091346286,0.2161873235704586,,,13,13,1,1,0.0,raw_learned
3362d0532ed7c2a38730,ood,single_interface,3181,pooled_cnn,17,0.4077208837071402,0.0530557988121619,0.0480789786544051,0.004260513986087413,0.7357103703172836,0.014448335111665869,0.026236213173309045,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
b68a57ff53cf5cbd1d8c,ood,two_interface,3181,pooled_cnn,17,0.5456216945496094,0.03743154258457182,0.07542818987963679,-0.0033404682470295215,0.8118848710960898,0.33265058611217235,0.33093996467679,,,13,13,1,1,0.0,raw_learned
b68a57ff53cf5cbd1d8c,ood,two_interface,3181,pooled_cnn,17,0.46017320570591796,0.03156947958214636,0.06361556419811897,-0.0031029759121085376,0.7776530346623496,0.008468930247124834,0.02119981396349431,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
0b247ca300bd186b2aa8,ood,smooth_no_interface,3191,pooled_cnn,17,0.31053629690307183,0.035262501076075085,0.0352163482912929,0.0036098067155922483,0.5586071233640933,0.20410121663032424,0.20160359237437725,,,13,13,1,1,0.0,raw_learned
0b247ca300bd186b2aa8,ood,smooth_no_interface,3191,pooled_cnn,17,0.30543495865285786,0.03468322597254753,0.03463783136311783,0.00350776773105903,0.6037321035571481,0.007530968199578542,0.02440561281233492,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
2aa10b47cf2ae3da6dfc,ood,single_interface,3191,pooled_cnn,17,0.39097380111219493,0.048670953758573936,0.04522641264177659,0.00120254495271525,0.6270738031934793,0.19715573640016268,0.19773591313722097,,,13,13,1,1,0.0,raw_learned
2aa10b47cf2ae3da6dfc,ood,single_interface,3191,pooled_cnn,17,0.3488747318873969,0.04343018865950492,0.040356547010935884,0.0004670042287759748,0.6272938962599716,0.014212972634897524,0.016589790262113022,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
00c3a80c137b7dc58c98,ood,two_interface,3191,pooled_cnn,17,0.543217053709503,0.038221846033302156,0.08164990775811681,-0.0023953639899700558,0.7859864523295839,0.31362429046878537,0.3137377566727959,,,13,13,1,1,0.0,raw_learned
00c3a80c137b7dc58c98,ood,two_interface,3191,pooled_cnn,17,0.4995431781174074,0.035148864179806505,0.07508537174220399,-0.002438219805702007,0.8154887813651432,0.01582436630698136,0.021845901166154275,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
6c144f9849f9520d81e5,development,smooth_no_interface,2101,pooled_cnn,29,0.25852746389022035,0.026497364080060332,0.030062378028308127,0.00329309965434026,0.4521408033023527,0.20372936235995792,0.202952479901107,,,13,13,1,1,0.0,raw_learned
6c144f9849f9520d81e5,development,smooth_no_interface,2101,pooled_cnn,29,0.2591240127978613,0.02655850641812943,0.030131746591725007,0.002744633495043722,0.5163184788923277,0.00700832092112696,0.01746123960675167,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
cee85dad2f56f6debc94,development,single_interface,2101,pooled_cnn,29,0.4089665784907967,0.0508698298533075,0.046807175174708775,0.0032831039758073636,0.6829204862131266,0.2238946847144621,0.22396091597118484,,,13,13,1,1,0.0,raw_learned
