split,candidate_id,replicate,covariance_mode,spatial_exponent,sobolev_strength,sobolev_epsilon,stages,mean_field_gain_percent,field_harm_over_one_percent_rate,mean_gradient_gain_percent,mean_front_f1_gain
opened_diagnostic_check,spatial_a0_s3_k2,13,spatial_tempered,0.0,3.0,0.05,2,9.000302683391565,0.125,12.582882775818003,0.1557926908135414
opened_diagnostic_check,spatial_a0_s3_k2,14,spatial_tempered,0.0,3.0,0.05,2,15.66574728683797,0.0,17.5049331686319,0.2000375003553927
opened_diagnostic_check,spatial_a0_s3_k2,15,spatial_tempered,0.0,3.0,0.05,2,13.866559875008642,0.125,16.498134298041606,0.1853658501058817
opened_diagnostic_check,spatial_a0_s3_k3,8,spatial_tempered,0.0,3.0,0.05,3,20.488943495203124,0.0,19.74225352118618,0.22987803118303418
opened_diagnostic_check,spatial_a0_s3_k3,9,spatial_tempered,0.0,3.0,0.05,3,16.4793791355784,0.125,17.847461433268762,0.21193628385663033
opened_diagnostic_check,spatial_a0_s3_k3,10,spatial_tempered,0.0,3.0,0.05,3,16.12429747163248,0.0,16.368428489137425,0.2189440317451954
opened_diagnostic_check,spatial_a0_s3_k3,11,spatial_tempered,0.0,3.0,0.05,3,18.418816721442195,0.125,15.861414680419315,0.193385886028409
opened_diagnostic_check,spatial_a0_s3_k3,12,spatial_tempered,0.0,3.0,0.05,3,24.580383891980883,0.0,22.554094453635642,0.2381097562611103
opened_diagnostic_check,spatial_a0_s3_k3,13,spatial_tempered,0.0,3.0,0.05,3,16.940778179649755,0.125,16.761951624564325,0.22713414579629898
opened_diagnostic_check,spatial_a0_s3_k3,14,spatial_tempered,0.0,3.0,0.05,3,21.049245523092267,0.0,20.87058635238441,0.25918383756652474
