partition,base_seed,geometry_digest,family,case_id,candidate_id,kind,beta,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,modeled_continuous_reprojection_relative_l2,raw_low_reprojection_relative_l2,modeled_correction_relative_norm,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,evaluator_only,runtime_seconds
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,single_interface,e1d39800258fd30cfa71,damping_high_order_b0p75,damping_high_order,0.75,0.687929186605107,0.07465553581066606,0.08542278086892174,-0.0154193270423895,1.0908506168385579,0.0036453527756730338,0.1856188834627512,0.18555841392601718,25,24,1,0,False,0.003773292002733797
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,single_interface,e1d39800258fd30cfa71,damping_high_order_b1p0,damping_high_order,1.0,0.688148961918416,0.07467938629425146,0.08545007120460563,-0.01540421814112133,1.0847960302819504,0.003751690478221643,0.19619406491080582,0.19613915658281614,25,24,1,0,False,0.003783542022574693
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,single_interface,e1d39800258fd30cfa71,exact_mismatch_oracle,exact_oracle,1.0,0.681043731668151,0.07390831162302054,0.08456778776830184,-0.014562077210377269,1.1300385683799425,0.0038008112570451164,0.18124561250757762,0.18124782762238498,25,24,0,0,True,0.0035374999861232936
calibration,1319,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,smooth_no_interface,7b87be214410317a6167,low_cgls25,low_reference,,0.5292115472290763,0.05336787724375528,0.05924341155019998,0.021203277610670337,1.0677353498251334,0.002185615285911658,0.002185615285911658,0.0,25,25,0,0,False,0.007830750022549182
calibration,1319,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,smooth_no_interface,7b87be214410317a6167,direct_high_order_cgls25,direct_high_order_reference,,0.5801346470019938,0.05850317285811231,0.06494407732942374,0.024941208031184298,1.0745004184376252,0.0031888460636181125,0.13103996289066894,0.0,0,0,25,25,False,0.0073339169612154365
calibration,1319,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,smooth_no_interface,7b87be214410317a6167,component_damping_correction,damping,0.0,0.5100557776672804,0.051436130357587914,0.05709898906801437,0.022502526776747935,0.9262306396717579,0.00523844740849904,0.15477265976016324,0.15460481291895511,25,24,0,0,False,0.0035265840124338865
calibration,1319,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,smooth_no_interface,7b87be214410317a6167,visible_curvature_correction,curvature,1.0,0.5084900175602572,0.05127823264424,0.056923707612243135,0.02205581813075363,0.9353706958918253,0.0029596022862196213,0.18990789029198793,0.18999916209423734,25,24,0,0,False,0.003452541946899146
calibration,1319,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,smooth_no_interface,7b87be214410317a6167,damping_curvature_half,damping_curvature,0.5,0.5077534704868628,0.05120395619656427,0.05684125370203715,0.02228139353702956,0.9275154597059971,0.0022170518830503675,0.169773388312359,0.16966919772345557,25,24,0,0,False,0.003437749983277172
calibration,1319,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,smooth_no_interface,7b87be214410317a6167,damping_high_order_b0p25,damping_high_order,0.25,0.5086993423182964,0.051299341817026584,0.05694714079856171,0.022415296768916824,0.9342495118010543,0.005317056079088582,0.14808704800799058,0.14792653445676335,25,24,1,0,False,0.0034965419908985496
calibration,1319,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,smooth_no_interface,7b87be214410317a6167,damping_high_order_b0p5,damping_high_order,0.5,0.5080695082782765,0.0512358267521953,0.056876633045213176,0.022328331030948393,0.9435705963003308,0.0053829909328742985,0.14283186514516547,0.14268266391154472,25,24,1,0,False,0.0034806670155376196
calibration,1319,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,smooth_no_interface,7b87be214410317a6167,damping_high_order_b0p75,damping_high_order,0.75,0.5081953022979097,0.051248512340468885,0.05689071525281937,0.022240865508650738,0.954238627019178,0.005398662790487518,0.13917196835522705,0.1390355966334722,25,24,1,0,False,0.0035350840189494193
calibration,1319,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,smooth_no_interface,7b87be214410317a6167,damping_high_order_b1p0,damping_high_order,1.0,0.509105924526126,0.05134034324541671,0.056992656277567326,0.02215307744769016,0.9662131896464471,0.005416661165150643,0.13724442456625013,0.13711281211972962,25,24,1,0,False,0.0038927500136196613
calibration,1319,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,smooth_no_interface,7b87be214410317a6167,exact_mismatch_oracle,exact_oracle,1.0,0.502989820486075,0.050723570064014095,0.05630797947747525,0.021665265444556273,0.9770833588806264,0.002977300197983798,0.18348654921565508,0.18339475013325052,25,24,0,0,True,0.003446792019531131
