rig_id,split_role,method,iteration,normalized_residual_l2,field_relative_l2,solution_l2
ood-03,fresh_geometry_ood,learned_oracle_free,1,3.28249322157603,3.1315855710281197,8.391216391822601
ood-03,fresh_geometry_ood,learned_oracle_free,2,25.13031890387808,23.921490830066137,47.283876842711514
ood-03,fresh_geometry_ood,learned_oracle_free,4,1265.488986938394,1204.280345217028,2477.794132615142
ood-03,fresh_geometry_ood,learned_oracle_free,8,3236767.6081877244,3080201.8592643575,6342520.013164698
ood-03,fresh_geometry_ood,learned_oracle_free,16,21175415387502.42,20151138943170.867,41493722676136.62
ood-03,fresh_geometry_ood,learned_oracle_free,32,9.063016635689835e+26,8.624629275411609e+26,1.7759193480213446e+27
ood-03,fresh_geometry_ood,calibrated_envelope,0,1.0,1.0,0.0
ood-03,fresh_geometry_ood,calibrated_envelope,1,0.307598564229719,0.40655681254264076,2.561101469108744
ood-03,fresh_geometry_ood,calibrated_envelope,2,0.5810493001107555,0.6280697743088236,0.8211770814142841
ood-03,fresh_geometry_ood,calibrated_envelope,4,0.5695284673926695,0.6153704424092522,0.8440925307618347
ood-03,fresh_geometry_ood,calibrated_envelope,8,0.6797508294527417,0.7003589994591736,0.634429186879374
ood-03,fresh_geometry_ood,calibrated_envelope,16,0.9966725829274924,0.9697174359682408,0.2667755368331535
ood-03,fresh_geometry_ood,calibrated_envelope,32,2.101409921279438,2.005557709734509,2.2217130442863913
