method,base_seed,direction_index,amplitude_multiplier,evaluation_replicates,valid_count,failure_count,nominal_threshold,calibration_envelope_threshold,calibration_envelope_valid,nominal_coverage,calibrated_coverage,calibrated_coverage_cp95_lower,calibrated_coverage_cp95_upper,native_radius_qref_median,calibrated_radius_qref_median,calibrated_radius_qref_p90
corrected_crossfit_wald,811,1,2.0,250,250,0,11.070497693516351,483.5298734055149,True,0.932,1.0,0.9853528113643196,1.0,0.5350068719882913,3.5357979764805547,3.550529893429715
plugin_native,811,2,1.0,250,250,0,11.070497693516351,103.2524206581322,True,0.928,1.0,0.9853528113643196,1.0,0.23107040621734487,0.7056849833984546,0.7060581339823615
iterative_gn_sandwich,811,2,1.0,250,250,0,11.070497693516351,14.134120644626549,True,0.924,0.976,0.9484967388946921,0.9911426387228863,0.22685047955143517,0.2563247401573149,0.25646446899732495
iterative_exact_godambe,811,2,1.0,250,250,0,11.070497693516351,14.154403049504122,True,0.924,0.976,0.9484967388946921,0.9911426387228863,0.22680631229089604,0.2564586450741074,0.25686778546992145
iterative_penalized_contrast,811,2,1.0,250,250,0,11.070497693516351,13.832455580051194,True,0.932,0.972,0.9431627547269463,0.9886699862043414,,,
corrected_crossfit_wald,811,2,1.0,250,250,0,11.070497693516351,483.5298734055149,True,0.956,1.0,0.9853528113643196,1.0,0.5259027242278216,3.4756297264739393,3.4901785673985706
plugin_native,811,2,2.0,250,250,0,11.070497693516351,103.2524206581322,True,0.728,1.0,0.9853528113643196,1.0,0.2304835741106758,0.703892808397633,0.704295288099342
iterative_gn_sandwich,811,2,2.0,250,250,0,11.070497693516351,14.134120644626549,True,0.928,0.964,0.9327630915411489,0.9834087170742183,0.22712253009938105,0.2566321377266291,0.2567810366035486
iterative_exact_godambe,811,2,2.0,250,250,0,11.070497693516351,14.154403049504122,True,0.928,0.964,0.9327630915411489,0.9834087170742183,0.22707227963660254,0.25675938461007924,0.25714549825463057
iterative_penalized_contrast,811,2,2.0,250,250,0,11.070497693516351,13.832455580051194,True,0.932,0.96,0.9276706445096194,0.9806545014947354,,,
corrected_crossfit_wald,811,2,2.0,250,250,0,11.070497693516351,483.5298734055149,True,0.748,1.0,0.9853528113643196,1.0,0.520829152138375,3.4420990806698493,3.451702142055262
plugin_native,907,-1,0.0,250,250,0,11.070497693516351,103.2524206581322,True,0.94,1.0,0.9853528113643196,1.0,0.2511488158581226,0.7670040956377442,0.7679889129161179
iterative_gn_sandwich,907,-1,0.0,250,250,0,11.070497693516351,14.134120644626549,True,0.888,0.984,0.9595426193679008,0.9956237734910259,0.2456592503656772,0.2775772995575516,0.277970430051955
iterative_exact_godambe,907,-1,0.0,250,250,0,11.070497693516351,14.154403049504122,True,0.888,0.984,0.9595426193679008,0.9956237734910259,0.2454491328763808,0.27753880135115566,0.2784770960837031
iterative_penalized_contrast,907,-1,0.0,250,250,0,11.070497693516351,13.832455580051194,True,0.9,0.984,0.9595426193679008,0.9956237734910259,,,
corrected_crossfit_wald,907,-1,0.0,250,250,0,11.070497693516351,483.5298734055149,True,0.66,1.0,0.9853528113643196,1.0,0.4757374523650454,3.144093299506543,3.1568487762662105
plugin_native,907,0,1.0,250,250,0,11.070497693516351,103.2524206581322,True,0.94,1.0,0.9853528113643196,1.0,0.2539600564034257,0.7755895751459911,0.776559897197876
iterative_gn_sandwich,907,0,1.0,250,250,0,11.070497693516351,14.134120644626549,True,0.908,0.972,0.9431627547269463,0.9886699862043414,0.24677598470688622,0.27883912911330644,0.279233273282024
iterative_exact_godambe,907,0,1.0,250,250,0,11.070497693516351,14.154403049504122,True,0.904,0.972,0.9431627547269463,0.9886699862043414,0.2466455425217357,0.27889162788187316,0.27969176271919727
iterative_penalized_contrast,907,0,1.0,250,250,0,11.070497693516351,13.832455580051194,True,0.908,0.972,0.9431627547269463,0.9886699862043414,,,
corrected_crossfit_wald,907,0,1.0,250,250,0,11.070497693516351,483.5298734055149,True,0.592,1.0,0.9853528113643196,1.0,0.4976988632480077,3.2892337009224257,3.297301189831387
plugin_native,907,0,2.0,250,250,0,11.070497693516351,103.2524206581322,True,0.76,1.0,0.9853528113643196,1.0,0.2557267372065196,0.7809849874517496,0.7820350639755848
iterative_gn_sandwich,907,0,2.0,250,250,0,11.070497693516351,14.134120644626549,True,0.928,0.976,0.9484967388946921,0.9911426387228863,0.2478477225991138,0.2800501159152087,0.28050893596488985
iterative_exact_godambe,907,0,2.0,250,250,0,11.070497693516351,14.154403049504122,True,0.928,0.976,0.9484967388946921,0.9911426387228863,0.24778955649710566,0.2801852086076728,0.2810744409285592
iterative_penalized_contrast,907,0,2.0,250,250,0,11.070497693516351,13.832455580051194,True,0.928,0.972,0.9431627547269463,0.9886699862043414,,,
corrected_crossfit_wald,907,0,2.0,250,250,0,11.070497693516351,483.5298734055149,True,0.196,1.0,0.9853528113643196,1.0,0.4970739001251032,3.2851033925824065,3.2925891384692108
plugin_native,907,1,1.0,250,250,0,11.070497693516351,103.2524206581322,True,0.808,1.0,0.9853528113643196,1.0,0.25085751827900665,0.7661144779205836,0.7672581288071851
iterative_gn_sandwich,907,1,1.0,250,250,0,11.070497693516351,14.134120644626549,True,0.916,0.984,0.9595426193679008,0.9956237734910259,0.24390145783705613,0.27559112031719823,0.2759488074223136
iterative_exact_godambe,907,1,1.0,250,250,0,11.070497693516351,14.154403049504122,True,0.912,0.984,0.9595426193679008,0.9956237734910259,0.24365200373275886,0.27550671811440103,0.27640179242294644
iterative_penalized_contrast,907,1,1.0,250,250,0,11.070497693516351,13.832455580051194,True,0.924,0.984,0.9595426193679008,0.9956237734910259,,,
corrected_crossfit_wald,907,1,1.0,250,250,0,11.070497693516351,483.5298734055149,True,0.044,1.0,0.9853528113643196,1.0,0.4545487786581899,3.004059827901629,3.016028424714305
plugin_native,907,1,2.0,250,250,0,11.070497693516351,103.2524206581322,True,0.0,0.948,0.9127198150696455,0.9720251075415595,0.24963467582302484,0.7623799384251332,0.7635160065768615
iterative_gn_sandwich,907,1,2.0,250,250,0,11.070497693516351,14.134120644626549,True,0.896,0.964,0.9327630915411489,0.9834087170742183,0.24108593228991898,0.2724097787758304,0.27283851946162907
iterative_exact_godambe,907,1,2.0,250,250,0,11.070497693516351,14.154403049504122,True,0.896,0.964,0.9327630915411489,0.9834087170742183,0.24085888175242856,0.27234842736240694,0.273204694325584
iterative_penalized_contrast,907,1,2.0,250,250,0,11.070497693516351,13.832455580051194,True,0.896,0.964,0.9327630915411489,0.9834087170742183,,,
corrected_crossfit_wald,907,1,2.0,250,250,0,11.070497693516351,483.5298734055149,True,0.0,0.96,0.9276706445096194,0.9806545014947354,0.43344962137437143,2.8646179598891317,2.8776783810506883
plugin_native,907,2,1.0,250,250,0,11.070497693516351,103.2524206581322,True,0.824,1.0,0.9853528113643196,1.0,0.24876825574575204,0.7597339066469606,0.7607453112746486
iterative_gn_sandwich,907,2,1.0,250,250,0,11.070497693516351,14.134120644626549,True,0.94,0.98,0.9539464228461827,0.9934749299979705,0.2451974175230881,0.277055461633264,0.2774166614574529
iterative_exact_godambe,907,2,1.0,250,250,0,11.070497693516351,14.154403049504122,True,0.944,0.98,0.9539464228461827,0.9934749299979705,0.24503530695303147,0.27707087241863726,0.2780309602423739
iterative_penalized_contrast,907,2,1.0,250,250,0,11.070497693516351,13.832455580051194,True,0.944,0.98,0.9539464228461827,0.9934749299979705,,,
corrected_crossfit_wald,907,2,1.0,250,250,0,11.070497693516351,483.5298734055149,True,0.596,1.0,0.9853528113643196,1.0,0.4771534282019011,3.1534513185542115,3.1629055222789932
plugin_native,907,2,2.0,250,250,0,11.070497693516351,103.2524206581322,True,0.0,1.0,0.9853528113643196,1.0,0.24636827751502,0.7524044150619682,0.7533710175699416
iterative_gn_sandwich,907,2,2.0,250,250,0,11.070497693516351,14.134120644626549,True,0.904,0.964,0.9327630915411489,0.9834087170742183,0.24409669157320787,0.2758117204093294,0.2762202191515822
iterative_exact_godambe,907,2,2.0,250,250,0,11.070497693516351,14.154403049504122,True,0.904,0.964,0.9327630915411489,0.9834087170742183,0.2439319892990388,0.2758233085930486,0.27663561245181995
iterative_penalized_contrast,907,2,2.0,250,250,0,11.070497693516351,13.832455580051194,True,0.912,0.964,0.9327630915411489,0.9834087170742183,,,
corrected_crossfit_wald,907,2,2.0,250,250,0,11.070497693516351,483.5298734055149,True,0.0,1.0,0.9853528113643196,1.0,0.47636355583232015,3.148231144249416,3.15651247593732
